,score,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/umap_epochs,config/umap_mdist,config/umap_ncomp,config/umap_neigh,config/umap_spread,logdir
618,0.3169014084507042,120.60536885261536,True,1,cc0c1b31,2023-09-28_08-00-19,1695888019,120.60536885261536,460394,43acadaf66b7,172.17.0.5,120.60536885261536,1,358,0.0570448013645182,303,31,1.7615395992166198,"/home/darlinne.soto/ray_results/pbal_umap_kuhar_p200/my_objective_function_cc0c1b31_619_umap_epochs=358,umap_mdist=0.0570,umap_ncomp=303,umap_neigh=31,umap_spread=1.7615_2023-09-28_07-58-18"
619,0.3732394366197183,69.3303918838501,False,1,9bde4d0e,2023-09-28_08-01-05,1695888065,69.3303918838501,459357,43acadaf66b7,172.17.0.5,69.3303918838501,1,383,0.11435489913201347,258,15,1.4821348808505568,"/home/darlinne.soto/ray_results/pbal_umap_kuhar_p200/my_objective_function_9bde4d0e_620_umap_epochs=383,umap_mdist=0.1144,umap_ncomp=258,umap_neigh=15,umap_spread=1.4821_2023-09-28_07-59-56"
620,0.3708920187793427,77.82853651046753,False,1,a1a3fc89,2023-09-28_08-01-23,1695888083,77.82853651046753,458924,43acadaf66b7,172.17.0.5,77.82853651046753,1,287,0.16075132243583126,380,12,0.8544439801660885,"/home/darlinne.soto/ray_results/pbal_umap_kuhar_p200/my_objective_function_a1a3fc89_621_umap_epochs=287,umap_mdist=0.1608,umap_ncomp=380,umap_neigh=12,umap_spread=0.8544_2023-09-28_08-00-05"
621,0.3826291079812207,69.72160506248474,False,1,f37388e8,2023-09-28_08-01-29,1695888089,69.72160506248474,460394,43acadaf66b7,172.17.0.5,69.72160506248474,1,433,0.5530463690281089,457,6,1.5529799846465526,"/home/darlinne.soto/ray_results/pbal_umap_kuhar_p200/my_objective_function_f37388e8_622_umap_epochs=433,umap_mdist=0.5530,umap_ncomp=457,umap_neigh=6,umap_spread=1.5530_2023-09-28_08-00-19"
622,0.1784037558685446,830.1690657138824,True,1,fe1cf007,2023-09-28_08-14-56,1695888896,830.1690657138824,459357,43acadaf66b7,172.17.0.5,830.1690657138824,1,408,1.2153739860918056,484,195,1.9622964883073346,"/home/darlinne.soto/ray_results/pbal_umap_kuhar_p200/my_objective_function_fe1cf007_623_umap_epochs=408,umap_mdist=1.2154,umap_ncomp=484,umap_neigh=195,umap_spread=1.9623_2023-09-28_08-01-06"
623,0.3356807511737089,102.77230858802795,True,1,a24d05de,2023-09-28_08-03-06,1695888186,102.77230858802795,458924,43acadaf66b7,172.17.0.5,102.77230858802795,1,320,0.22520645692982097,342,21,1.2358438997630221,"/home/darlinne.soto/ray_results/pbal_umap_kuhar_p200/my_objective_function_a24d05de_624_umap_epochs=320,umap_mdist=0.2252,umap_ncomp=342,umap_neigh=21,umap_spread=1.2358_2023-09-28_08-01-23"
624,0.3192488262910798,151.87153244018555,True,1,27ea7f3c,2023-09-28_08-04-01,1695888241,151.87153244018555,460394,43acadaf66b7,172.17.0.5,151.87153244018555,1,299,0.29610607488656354,390,34,0.9086993290776755,"/home/darlinne.soto/ray_results/pbal_umap_kuhar_p200/my_objective_function_27ea7f3c_625_umap_epochs=299,umap_mdist=0.2961,umap_ncomp=390,umap_neigh=34,umap_spread=0.9087_2023-09-28_08-01-29"
625,0.3309859154929577,145.41910886764526,True,1,cf9f4479,2023-09-28_08-04-09,1695888249,145.41910886764526,459898,43acadaf66b7,172.17.0.5,145.41910886764526,1,335,0.465146554468116,438,25,1.2915711173210744,"/home/darlinne.soto/ray_results/pbal_umap_kuhar_p200/my_objective_function_cf9f4479_626_umap_epochs=335,umap_mdist=0.4651,umap_ncomp=438,umap_neigh=25,umap_spread=1.2916_2023-09-28_08-01-44"
626,0.352112676056338,84.50459361076355,False,1,9ab7c105,2023-09-28_08-04-31,1695888271,84.50459361076355,458924,43acadaf66b7,172.17.0.5,84.50459361076355,1,350,0.04033083573134233,281,20,1.8155100234129717,"/home/darlinne.soto/ray_results/pbal_umap_kuhar_p200/my_objective_function_9ab7c105_627_umap_epochs=350,umap_mdist=0.0403,umap_ncomp=281,umap_neigh=20,umap_spread=1.8155_2023-09-28_08-03-06"
627,0.3779342723004695,70.21057033538818,False,1,cfb097d6,2023-09-28_08-05-04,1695888304,70.21057033538818,460144,43acadaf66b7,172.17.0.5,70.21057033538818,1,444,0.40599864909379435,465,6,1.458550228781875,"/home/darlinne.soto/ray_results/pbal_umap_kuhar_p200/my_objective_function_cfb097d6_628_umap_epochs=444,umap_mdist=0.4060,umap_ncomp=465,umap_neigh=6,umap_spread=1.4586_2023-09-28_08-03-53"
628,0.3591549295774648,112.0452036857605,False,1,67d58a59,2023-09-28_08-05-53,1695888353,112.0452036857605,460394,43acadaf66b7,172.17.0.5,112.0452036857605,1,402,0.3509683519065981,473,14,1.6187478580434616,"/home/darlinne.soto/ray_results/pbal_umap_kuhar_p200/my_objective_function_67d58a59_629_umap_epochs=402,umap_mdist=0.3510,umap_ncomp=473,umap_neigh=14,umap_spread=1.6187_2023-09-28_08-04-01"
629,0.3826291079812207,95.4103660583496,False,1,2011122e,2023-09-28_08-05-45,1695888345,95.4103660583496,459898,43acadaf66b7,172.17.0.5,95.4103660583496,1,395,0.49596796646189434,528,9,1.400747806048948,"/home/darlinne.soto/ray_results/pbal_umap_kuhar_p200/my_objective_function_2011122e_630_umap_epochs=395,umap_mdist=0.4960,umap_ncomp=528,umap_neigh=9,umap_spread=1.4007_2023-09-28_08-04-09"
630,0.3403755868544601,135.2455816268921,True,1,773e1cdf,2023-09-28_08-06-46,1695888406,135.2455816268921,458924,43acadaf66b7,172.17.0.5,135.2455816268921,1,319,0.2690486290392857,423,24,1.3134456642582397,"/home/darlinne.soto/ray_results/pbal_umap_kuhar_p200/my_objective_function_773e1cdf_631_umap_epochs=319,umap_mdist=0.2690,umap_ncomp=423,umap_neigh=24,umap_spread=1.3134_2023-09-28_08-04-31"
631,0.2880281690140845,38.93088173866272,True,1,a208802f,2023-09-28_08-05-43,1695888343,38.93088173866272,460144,43acadaf66b7,172.17.0.5,38.93088173866272,1,282,0.10548297043183592,404,2,1.1635729020959464,"/home/darlinne.soto/ray_results/pbal_umap_kuhar_p200/my_objective_function_a208802f_632_umap_epochs=282,umap_mdist=0.1055,umap_ncomp=404,umap_neigh=2,umap_spread=1.1636_2023-09-28_08-05-04"
632,0.2816901408450704,149.3824646472931,True,1,cd9aec37,2023-09-28_08-08-13,1695888493,149.3824646472931,460144,43acadaf66b7,172.17.0.5,149.3824646472931,1,267,0.02853105390759672,356,38,1.102080025195411,"/home/darlinne.soto/ray_results/pbal_umap_kuhar_p200/my_objective_function_cd9aec37_633_umap_epochs=267,umap_mdist=0.0285,umap_ncomp=356,umap_neigh=38,umap_spread=1.1021_2023-09-28_08-05-43"
633,0.3497652582159624,67.4926700592041,True,1,654052c4,2023-09-28_08-06-53,1695888413,67.4926700592041,459898,43acadaf66b7,172.17.0.5,67.4926700592041,1,381,0.1851082171922164,231,17,1.3869465198478201,"/home/darlinne.soto/ray_results/pbal_umap_kuhar_p200/my_objective_function_654052c4_634_umap_epochs=381,umap_mdist=0.1851,umap_ncomp=231,umap_neigh=17,umap_spread=1.3869_2023-09-28_08-05-45"
634,0.307981220657277,33.29849982261658,True,1,7b1c57e0,2023-09-28_08-06-27,1695888387,33.29849982261658,460394,43acadaf66b7,172.17.0.5,33.29849982261658,1,309,0.07946215560507093,328,2,1.0222160373631481,"/home/darlinne.soto/ray_results/pbal_umap_kuhar_p200/my_objective_function_7b1c57e0_635_umap_epochs=309,umap_mdist=0.0795,umap_ncomp=328,umap_neigh=2,umap_spread=1.0222_2023-09-28_08-05-53"
635,0.2746478873239437,113.20327281951904,True,1,f06b3fb8,2023-09-28_08-08-20,1695888500,113.20327281951904,460394,43acadaf66b7,172.17.0.5,113.20327281951904,1,330,0.0018085564954073985,292,31,1.2166954076822323,"/home/darlinne.soto/ray_results/pbal_umap_kuhar_p200/my_objective_function_f06b3fb8_636_umap_epochs=330,umap_mdist=0.0018,umap_ncomp=292,umap_neigh=31,umap_spread=1.2167_2023-09-28_08-06-27"
