,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),num_params,num_trainable_params,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/batch_size,config/num_HL,config/latent_dim,config/opt_lr,config/opt_wd,logdir
0,0.6970588235294117,0.6944117647058824,0.01047736066503346,0.6897761469806947,0.010885453630562711,0.6897761469806948,0.010885453630562708,0.6676470588235294,0.0,0.662569838582982,0.0,0.6625698385829821,0.0,0.6970588235294117,0.0,0.633113866396761,0.0,0.6331138663967611,0.0,342812,342812,1698475175,False,1,83b9a40f,2023-10-28_06-39-35,224.14485669136047,224.14485669136047,57367,1105bb7c0067,172.17.0.2,224.14485669136047,1,,64,4,15,2.458334319915596e-05,4.297126428339521e-06,83b9a40f
1,0.6244117647058822,0.6244117647058822,0.008324100998873473,0.6206410739505965,0.00894644209656793,0.6206410739505965,0.008946442096567954,0.5911764705882353,0.0,0.5879613220416334,0.0,0.5879613220416334,0.0,0.5882352941176471,0.0,0.5124998705835336,0.0,0.5124998705835336,0.0,674507,674507,1698475066,True,1,507149b9,2023-10-28_06-37-46,108.34217381477356,108.34217381477356,57472,1105bb7c0067,172.17.0.2,108.34217381477356,1,,128,5,146,4.637264942069434e-05,7.026868770943129e-06,507149b9
2,0.75,0.7273529411764706,0.014230553415768166,0.7248791348858727,0.014466816142526352,0.7248791348858727,0.01446681614252634,0.6970588235294117,0.0,0.6918853972218469,0.0,0.6918853972218469,0.0,0.75,0.0,0.6868659912983763,0.0,0.6868659912983763,0.0,152881,152881,1698475903,True,1,db53fb22,2023-10-28_06-51-43,938.2054092884064,938.2054092884064,57519,1105bb7c0067,172.17.0.2,938.2054092884064,1,,128,2,30,1.8481257033155232e-05,9.831288664562071e-06,db53fb22
3,0.6355882352941176,0.6355882352941176,0.014849300660428626,0.6293607514180722,0.014909099987703072,0.6293607514180722,0.014909099987703065,0.6205882352941177,0.0,0.6177855057812598,0.0,0.6177855057812598,0.0,0.3764705882352941,0.0,0.34995402180608365,0.0,0.34995402180608365,0.0,1052311,1052311,1698475007,False,1,aa69b8d3,2023-10-28_06-36-47,36.108548402786255,36.108548402786255,57566,1105bb7c0067,172.17.0.2,36.108548402786255,1,,128,7,178,4.038904227789889e-05,4.108859080983608e-06,aa69b8d3
4,0.7658823529411765,0.7658823529411765,0.011406305546861957,0.7649084037322529,0.011212466660664491,0.7649084037322528,0.011212466660664468,0.7588235294117647,0.0,0.7567433199949329,0.0,0.7567433199949329,0.0,0.7352941176470589,0.0,0.6792926690189848,0.0,0.6792926690189849,0.0,306685,306685,1698475494,True,1,dcd6a18f,2023-10-28_06-44-54,517.3690779209137,517.3690779209137,57613,1105bb7c0067,172.17.0.2,517.3690779209137,1,,128,3,74,3.743854650681274e-05,9.299457646260349e-06,dcd6a18f
5,0.5961764705882352,0.5961764705882352,0.019288826390670113,0.589995926899979,0.019863840111280416,0.589995926899979,0.019863840111280423,0.5647058823529412,0.0,0.5665395997351774,0.0,0.5665395997351775,0.0,0.2735294117647059,0.0,0.23950624757399538,0.0,0.23950624757399538,0.0,657890,657890,1698475007,True,1,25953146,2023-10-28_06-36-47,21.772879362106323,21.772879362106323,57660,1105bb7c0067,172.17.0.2,21.772879362106323,1,,128,7,33,0.0009588841352321177,3.316086833706441e-06,25953146
6,0.6323529411764706,0.6323529411764706,0.015054686931846754,0.6286990639160077,0.014898875797616439,0.6286990639160077,0.014898875797616423,0.538235294117647,0.0,0.5375065812060177,0.0,0.5375065812060177,0.0,0.2647058823529412,0.0,0.21287402568170535,0.0,0.21287402568170538,0.0,1198868,1198868,1698475040,True,1,815019e6,2023-10-28_06-37-20,46.06486225128174,46.06486225128174,57707,1105bb7c0067,172.17.0.2,46.06486225128174,1,,64,8,177,0.0008016297831081318,1.6158435352603209e-06,815019e6
7,0.6311764705882352,0.6311764705882352,0.010289915108550535,0.6071934681711758,0.011507749120043754,0.6071934681711759,0.01150774912004372,0.5647058823529412,0.0,0.5593981403316836,0.0,0.5593981403316836,0.0,0.31470588235294117,0.0,0.2081447963800905,0.0,0.2081447963800905,0.0,855590,855590,1698475037,False,1,3d00ce40,2023-10-28_06-37-17,36.114845752716064,36.114845752716064,57754,1105bb7c0067,172.17.0.2,36.114845752716064,1,,128,8,73,0.0001494637157431015,2.9999395761823813e-06,3d00ce40
8,0.6185294117647059,0.6185294117647059,0.010770490249176798,0.6134607785844951,0.011391498191609783,0.6134607785844951,0.011391498191609827,0.5970588235294118,0.0,0.5889107908152084,0.0,0.5889107908152083,0.0,0.5735294117647058,0.0,0.49864009577621715,0.0,0.49864009577621726,0.0,716109,716109,1698475152,True,1,326e07fc,2023-10-28_06-39-12,142.9378695487976,142.9378695487976,57660,1105bb7c0067,172.17.0.2,142.9378695487976,1,,64,5,164,2.067835271870785e-05,7.3415295322994515e-06,326e07fc
9,0.771470588235294,0.771470588235294,0.013222215760581782,0.7689361104211834,0.014292981210014054,0.7689361104211834,0.014292981210014058,0.7617647058823529,0.0,0.7594853933166469,0.0,0.7594853933166469,0.0,0.7676470588235295,0.0,0.7179656276707094,0.0,0.7179656276707094,0.0,204756,204756,1698475110,False,1,384de357,2023-10-28_06-38-30,101.09553575515747,101.09553575515747,57566,1105bb7c0067,172.17.0.2,101.09553575515747,1,,64,2,91,0.00017687521028993122,2.4110475358822196e-06,384de357
