,score,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/batch_size,config/num_HL,config/down_HL,config/size_HL,config/latent_dim,config/opt_lr,config/opt_wd,logdir
0,0.594131455399061,1696539012,False,1,732f7299,2023-10-05_20-50-12,776.3770525455475,776.3770525455475,302,516b0028877c,172.17.0.2,776.3770525455475,1,,128,2,11,119,15,0.0005538513000461101,4.25599391576397e-06,732f7299
1,-0.1,1696538754,False,1,81b7527c,2023-10-05_20-45-54,506.3755168914795,506.3755168914795,339,516b0028877c,172.17.0.2,506.3755168914795,1,,256,3,13,58,7,0.0003033583311906378,9.482444455217599e-07,81b7527c
2,-0.1,1696538754,False,1,e96bc9d5,2023-10-05_20-45-54,498.3680901527405,498.3680901527405,371,516b0028877c,172.17.0.2,498.3680901527405,1,,256,4,2,32,8,1.2092733171437277e-05,3.119057769484494e-06,e96bc9d5
3,-0.1,1696538754,False,1,4416f8bf,2023-10-05_20-45-54,463.7486295700073,463.7486295700073,403,516b0028877c,172.17.0.2,463.7486295700073,1,,128,4,19,165,47,7.168656333819377e-05,8.965793382030266e-06,4416f8bf
4,-0.1,1696538774,False,1,d1648dab,2023-10-05_20-46-14,0.4673011302947998,0.4673011302947998,403,516b0028877c,172.17.0.2,0.4673011302947998,1,,128,6,10,262,3,0.0004931934084736138,2.6734594903975453e-06,d1648dab
5,-0.1,1696538774,False,1,ecc8cf5f,2023-10-05_20-46-14,0.4503922462463379,0.4503922462463379,371,516b0028877c,172.17.0.2,0.4503922462463379,1,,128,7,13,139,75,0.000230571419747203,5.132364207630591e-06,ecc8cf5f
6,-0.1,1696538775,False,1,c74032b9,2023-10-05_20-46-15,0.43280601501464844,0.43280601501464844,371,516b0028877c,172.17.0.2,0.43280601501464844,1,,64,5,6,146,16,1.0368041187614749e-05,1.348599738532238e-06,c74032b9
7,-0.1,1696538775,False,1,82135fe8,2023-10-05_20-46-15,0.45105671882629395,0.45105671882629395,403,516b0028877c,172.17.0.2,0.45105671882629395,1,,128,3,9,33,11,2.11780922973772e-05,1.4151935648351533e-06,82135fe8
8,-0.1,1696538775,False,1,3e33b950,2023-10-05_20-46-15,0.4324195384979248,0.4324195384979248,371,516b0028877c,172.17.0.2,0.4324195384979248,1,,128,8,13,170,87,0.00022723921336551396,6.054471763721891e-06,3e33b950
9,-0.1,1696538775,False,1,54ad30bb,2023-10-05_20-46-15,0.44074296951293945,0.44074296951293945,403,516b0028877c,172.17.0.2,0.44074296951293945,1,,64,4,3,39,61,0.00019985347884064107,7.972720586915117e-08,54ad30bb
10,-0.1,1696538776,False,1,757a9c91,2023-10-05_20-46-16,0.4296247959136963,0.4296247959136963,371,516b0028877c,172.17.0.2,0.4296247959136963,1,,32,3,4,109,78,9.907628066627258e-05,1.9225346058913708e-06,757a9c91
11,-0.1,1696538776,False,1,275be95b,2023-10-05_20-46-16,0.45375680923461914,0.45375680923461914,403,516b0028877c,172.17.0.2,0.45375680923461914,1,,128,8,3,249,62,0.0003466081639412922,2.0839749751192227e-06,275be95b
12,0.5821596244131455,1696539476,False,1,8cf3a3db,2023-10-05_20-57-56,700.1355431079865,700.1355431079865,371,516b0028877c,172.17.0.2,700.1355431079865,1,,128,2,4,350,15,3.834442263461805e-05,2.0206012229066708e-07,8cf3a3db
13,0.5751173708920188,1696539401,False,1,5f6d1a9c,2023-10-05_20-56-41,625.1566832065582,625.1566832065582,403,516b0028877c,172.17.0.2,625.1566832065582,1,,128,2,9,373,38,4.157203739251436e-05,5.396182474184546e-06,5f6d1a9c
14,-0.1,1696538793,False,1,af2b9fea,2023-10-05_20-46-33,0.4787018299102783,0.4787018299102783,503,516b0028877c,172.17.0.2,0.4787018299102783,1,,64,3,18,48,26,2.234603944784193e-05,3.07119164103148e-06,af2b9fea
15,-0.1,1696538794,False,1,df835bb0,2023-10-05_20-46-34,1.1095705032348633,1.1095705032348633,503,516b0028877c,172.17.0.2,1.1095705032348633,1,,256,4,3,259,30,1.2194545435651647e-05,9.629202009861682e-06,df835bb0
16,-0.1,1696538795,False,1,acece24f,2023-10-05_20-46-35,0.448594331741333,0.448594331741333,503,516b0028877c,172.17.0.2,0.448594331741333,1,,256,7,5,167,10,0.0006617983401596129,9.628719052802824e-06,acece24f
17,-0.1,1696538795,False,1,eca63dd5,2023-10-05_20-46-35,0.44684290885925293,0.44684290885925293,503,516b0028877c,172.17.0.2,0.44684290885925293,1,,32,5,15,297,38,1.0337299945499334e-05,1.973847978216892e-07,eca63dd5
18,-0.1,1696538796,False,1,c7737bb6,2023-10-05_20-46-36,0.445833683013916,0.445833683013916,503,516b0028877c,172.17.0.2,0.445833683013916,1,,128,5,8,323,78,0.0008025908125168447,2.218357545281673e-06,c7737bb6
19,-0.1,1696538796,False,1,de97479a,2023-10-05_20-46-36,0.4465758800506592,0.4465758800506592,503,516b0028877c,172.17.0.2,0.4465758800506592,1,,128,4,10,29,67,0.00040866254572027806,8.273732371536687e-06,de97479a
20,-0.1,1696538797,False,1,9dc45f8a,2023-10-05_20-46-37,0.4413294792175293,0.4413294792175293,503,516b0028877c,172.17.0.2,0.4413294792175293,1,,32,6,15,296,52,0.0001524725537023066,3.1182433104587725e-07,9dc45f8a
21,-0.1,1696538798,False,1,0bdf1927,2023-10-05_20-46-38,0.4333314895629883,0.4333314895629883,503,516b0028877c,172.17.0.2,0.4333314895629883,1,,32,6,7,101,89,9.687124595641532e-05,4.194369154818302e-06,0bdf1927
22,-0.1,1696538798,False,1,b574bc15,2023-10-05_20-46-38,0.4299509525299072,0.4299509525299072,503,516b0028877c,172.17.0.2,0.4299509525299072,1,,32,3,6,88,72,0.00012399629553293224,7.2875292856408875e-06,b574bc15
23,-0.1,1696538799,False,1,a5f6509e,2023-10-05_20-46-39,0.4365246295928955,0.4365246295928955,503,516b0028877c,172.17.0.2,0.4365246295928955,1,,32,8,17,220,55,0.00015246250108755374,3.8518729604386696e-06,a5f6509e
24,-0.1,1696538799,False,1,a07376d5,2023-10-05_20-46-39,0.4389991760253906,0.4389991760253906,503,516b0028877c,172.17.0.2,0.4389991760253906,1,,32,7,7,212,64,0.0009933143116312136,4.038126097834337e-06,a07376d5
25,-0.1,1696538800,False,1,cee2a5f3,2023-10-05_20-46-40,0.4437100887298584,0.4437100887298584,503,516b0028877c,172.17.0.2,0.4437100887298584,1,,32,7,11,213,67,0.0008206349260291843,6.832232422286481e-06,cee2a5f3
26,-0.1,1696538800,False,1,0bdbc0e4,2023-10-05_20-46-40,0.44423604011535645,0.44423604011535645,503,516b0028877c,172.17.0.2,0.44423604011535645,1,,32,6,15,286,49,5.2560436067567016e-05,6.621194446735794e-06,0bdbc0e4
27,-0.1,1696538801,False,1,43726ebe,2023-10-05_20-46-41,0.44200897216796875,0.44200897216796875,503,516b0028877c,172.17.0.2,0.44200897216796875,1,,32,6,15,72,89,6.249073302296812e-05,6.2019546850391015e-06,43726ebe
28,-0.1,1696538801,False,1,077c0d6a,2023-10-05_20-46-41,0.48517704010009766,0.48517704010009766,503,516b0028877c,172.17.0.2,0.48517704010009766,1,,32,5,12,82,85,7.101461867664065e-05,7.91921672605302e-06,077c0d6a
29,-0.1,1696538802,False,1,fcea01a4,2023-10-05_20-46-42,0.4925384521484375,0.4925384521484375,503,516b0028877c,172.17.0.2,0.4925384521484375,1,,64,5,19,394,25,2.0926197020472015e-05,3.2644915265198413e-06,fcea01a4
30,0.5330985915492957,1696539254,False,1,d99f673f,2023-10-05_20-54-14,451.7596387863159,451.7596387863159,503,516b0028877c,172.17.0.2,451.7596387863159,1,,64,2,17,63,25,2.5932116649590407e-05,5.696946786070626e-06,d99f673f
31,-0.1,1696539013,False,1,c12b44df,2023-10-05_20-50-13,0.5525712966918945,0.5525712966918945,302,516b0028877c,172.17.0.2,0.5525712966918945,1,,256,4,12,127,41,8.059565168062676e-05,7.913090416490743e-06,c12b44df
32,-0.1,1696539013,False,1,00f4e1b8,2023-10-05_20-50-13,0.5802783966064453,0.5802783966064453,302,516b0028877c,172.17.0.2,0.5802783966064453,1,,64,4,18,184,4,1.5409922182276672e-05,4.644447486281655e-06,00f4e1b8
33,-0.1,1696539014,False,1,a82c7ac2,2023-10-05_20-50-14,0.5311689376831055,0.5311689376831055,302,516b0028877c,172.17.0.2,0.5311689376831055,1,,64,5,14,380,21,3.064685110165529e-05,3.6657875361702547e-06,a82c7ac2
34,0.6279342723004695,1696539590,False,1,00d04a18,2023-10-05_20-59-50,575.7401802539825,575.7401802539825,302,516b0028877c,172.17.0.2,575.7401802539825,1,,256,2,11,138,41,0.000511372699469811,8.664581576000298e-06,00d04a18
35,0.5345070422535211,1696539826,False,1,87d6aa4d,2023-10-05_21-03-46,569.6107907295227,569.6107907295227,503,516b0028877c,172.17.0.2,569.6107907295227,1,,64,2,17,66,32,3.0005909650796926e-05,5.512847339634814e-06,87d6aa4d
36,-0.1,1696539401,False,1,064bca1b,2023-10-05_20-56-41,0.5175571441650391,0.5175571441650391,403,516b0028877c,172.17.0.2,0.5175571441650391,1,,128,3,9,363,35,4.595280321968434e-05,4.7708653363122815e-06,064bca1b
37,0.5924882629107981,1696539735,False,1,db594ad9,2023-10-05_21-02-15,333.9581367969513,333.9581367969513,403,516b0028877c,172.17.0.2,333.9581367969513,1,,128,2,9,336,19,0.0002936316120213808,5.057879367373192e-06,db594ad9
38,-0.1,1696539476,False,1,5b612f2a,2023-10-05_20-57-56,0.5492823123931885,0.5492823123931885,371,516b0028877c,172.17.0.2,0.5492823123931885,1,,128,3,5,187,13,3.998249539579569e-05,8.175618497127183e-07,5b612f2a
39,0.4988262910798123,1696541436,False,1,8dd762b4,2023-10-05_21-30-36,1960.1605777740479,1960.1605777740479,371,516b0028877c,172.17.0.2,1960.1605777740479,1,,128,2,12,240,5,1.6701229362417122e-05,1.3925950103860822e-06,8dd762b4
40,-0.1,1696539590,False,1,6f143ace,2023-10-05_20-59-50,0.6042721271514893,0.6042721271514893,302,516b0028877c,172.17.0.2,0.6042721271514893,1,,256,3,11,138,46,0.0004873256179210317,9.22064819080551e-06,6f143ace
41,0.5748826291079812,1696540324,False,1,e890b3cf,2023-10-05_21-12-04,733.5569093227386,733.5569093227386,302,516b0028877c,172.17.0.2,733.5569093227386,1,,256,2,14,108,57,0.0005651045307371532,8.600382716488042e-06,e890b3cf
