,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),num_params,num_trainable_params,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/umap_ncomp,config/umap_spread,config/umap_mdist,config/umap_neigh,config/umap_epochs,logdir
859,0.6226470588235294,0.6226470588235294,0.016378418579206893,0.6336220332281223,0.016067789603006734,0.6336220332281223,0.016067789603006713,0.6058823529411764,0.0,0.6213758969394195,0.0,0.6213758969394196,0.0,0.5823529411764706,0.0,0.5528109154380453,0.0,0.5528109154380453,0.0,-1,-1,1699449405,True,1,473fc904,2023-11-08_13-16-45,49.40716195106506,49.40716195106506,310920,a4551403631c,172.17.0.2,49.40716195106506,1,,78,1.5871189937019705,0.8578051818294529,33,451,473fc904
860,0.3382352941176471,0.29647058823529404,0.016885529522832145,0.2635177152594092,0.019654965680689737,0.26351771525940926,0.01965496568068972,0.3382352941176471,0.0,0.3353566882296247,0.0,0.3353566882296248,0.0,0.22941176470588234,0.0,0.18550689304324364,0.0,0.18550689304324366,0.0,-1,-1,1699449403,True,1,d5fd3209,2023-11-08_13-16-43,29.980665683746338,29.980665683746338,312865,a4551403631c,172.17.0.2,29.980665683746338,1,,14,1.4746600613401968,0.9998026021190083,132,274,d5fd3209
861,0.6752941176470589,0.6752941176470589,0.01269825479113112,0.6861012326564877,0.011548644445992785,0.6861012326564877,0.011548644445992759,0.6647058823529411,0.0,0.6771541653862949,0.0,0.677154165386295,0.0,0.6147058823529412,0.0,0.5821680216802169,0.0,0.5821680216802168,0.0,-1,-1,1699449437,True,1,7933a9ba,2023-11-08_13-17-17,53.91199564933777,53.91199564933777,316619,a4551403631c,172.17.0.2,53.91199564933777,1,,100,1.5423765374283689,0.8745365052953215,24,500,7933a9ba
862,0.741764705882353,0.741764705882353,0.011896322597739217,0.745447404340313,0.011617911510963249,0.745447404340313,0.011617911510963204,0.7323529411764705,0.0,0.7322026056209572,0.0,0.7322026056209572,0.0,0.6970588235294117,0.0,0.697744953662797,0.0,0.6977449536627971,0.0,-1,-1,1699449429,False,1,0550fa3d,2023-11-08_13-17-09,41.599228858947754,41.599228858947754,317279,a4551403631c,172.17.0.2,41.599228858947754,1,,92,1.5132051558222486,0.9551040353178364,5,295,0550fa3d
863,0.7070588235294117,0.7070588235294117,0.010289915108550544,0.7092148840732486,0.010505854888743029,0.7092148840732486,0.010505854888743046,0.6705882352941176,0.0,0.6748885171219619,0.0,0.6748885171219619,0.0,0.5882352941176471,0.0,0.5979949748234177,0.0,0.5979949748234177,0.0,-1,-1,1699449437,False,1,8aa3100a,2023-11-08_13-17-17,49.28363084793091,49.28363084793091,317717,a4551403631c,172.17.0.2,49.28363084793091,1,,138,1.864386435552937,0.7599568988880461,2,189,8aa3100a
864,0.6311764705882352,0.6311764705882352,0.014776301984800557,0.631733932540657,0.016621731120582166,0.631733932540657,0.016621731120582153,0.6088235294117647,0.0,0.6184561471204171,0.0,0.6184561471204172,0.0,0.5882352941176471,0.0,0.5898615926712552,0.0,0.5898615926712552,0.0,-1,-1,1699449435,True,1,ce1b20b3,2023-11-08_13-17-15,47.21333289146423,47.21333289146423,287602,a4551403631c,172.17.0.2,47.21333289146423,1,,106,1.955447584141486,0.3853897694354524,19,237,ce1b20b3
865,0.5852941176470589,0.55,0.01035695109509354,0.5545932170222014,0.010466413920583784,0.5545932170222014,0.010466413920583778,0.5852941176470589,0.0,0.601889200072469,0.0,0.6018892000724689,0.0,0.49117647058823527,0.0,0.4525878741579218,0.0,0.4525878741579219,0.0,-1,-1,1699449444,True,1,c6ee54bd,2023-11-08_13-17-24,49.476611852645874,49.476611852645874,310569,a4551403631c,172.17.0.2,49.476611852645874,1,,56,1.8458199967292592,0.5627054155294804,39,536,c6ee54bd
866,0.6814705882352942,0.6814705882352942,0.011008804277772295,0.6866043010156913,0.010483901925161307,0.6866043010156911,0.010483901925161332,0.6617647058823529,0.0,0.667421717852738,0.0,0.6674217178527381,0.0,0.6352941176470588,0.0,0.6404989514104267,0.0,0.6404989514104268,0.0,-1,-1,1699449450,True,1,9afd51c7,2023-11-08_13-17-30,51.989586353302,51.989586353302,315391,a4551403631c,172.17.0.2,51.989586353302,1,,113,1.9990204835385514,0.6458966468032981,10,491,9afd51c7
867,0.6352941176470588,0.6100000000000001,0.011925373489831356,0.6088722542071567,0.011978325170948113,0.6088722542071567,0.01197832517094811,0.6352941176470588,0.0,0.6490338043893495,0.0,0.6490338043893495,0.0,0.5970588235294118,0.0,0.5765712707909753,0.0,0.5765712707909753,0.0,-1,-1,1699449455,True,1,b0c118a6,2023-11-08_13-17-35,56.308032751083374,56.308032751083374,310019,a4551403631c,172.17.0.2,56.308032751083374,1,,135,1.681964687222982,0.9149156885416302,29,284,b0c118a6
868,0.7123529411764705,0.7123529411764705,0.012670976016787065,0.7133541842311215,0.012114618606481591,0.7133541842311215,0.012114618606481584,0.6205882352941177,0.0,0.6307942146197485,0.0,0.6307942146197485,0.0,0.6411764705882353,0.0,0.6467968972451713,0.0,0.6467968972451712,0.0,-1,-1,1699449441,False,1,d98cd477,2023-11-08_13-17-21,37.24886631965637,37.24886631965637,312865,a4551403631c,172.17.0.2,37.24886631965637,1,,50,1.7408977867686086,0.9814513460097674,2,470,d98cd477
