,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),num_params,num_trainable_params,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/kernel,config/latent_dim,config/num_CL,config/num_HL,config/opt_lr,config/opt_wd,config/size_CL,logdir
617,0.6738095238095239,0.6611904761904762,0.0138443731048634,0.6407042643079708,0.0166940204902539,0.6407042643079708,0.016694020490254,0.6738095238095239,0.0,0.6732141364943557,0.0,0.6732141364943557,0.0,0.5976190476190476,0.0,0.5506200666864722,0.0,0.5506200666864722,0.0,47854144,47854144,70.94577097892761,True,1,a64764e1,2023-11-10_03-27-48,1699586868,70.94577097892761,33571,c2bc4fd3277a,172.17.0.4,70.94577097892761,1,128,3,153,2,2,1.4508603882036555e-05,4.986972270331211e-07,19,"/home/darlinne.soto/ray_results/P10_convae_motionsense_p50/my_objective_function_a64764e1_618_batch_size=128,kernel=3,latent_dim=153,num_CL=2,num_HL=2,opt_lr=0.0000,opt_wd=0.0000,size_CL=19_2023-11-10_03-26-37"
618,0.7619047619047619,0.6695238095238096,0.0092704392066341,0.6467130956603039,0.008734917479718,0.6467130956603039,0.008734917479718,0.7619047619047619,0.0,0.7555487417029418,0.0,0.7555487417029418,0.0,0.6071428571428571,0.0,0.5569808026582576,0.0,0.5569808026582576,0.0,26632063,26632063,1361.3930695056915,False,1,222fb10b,2023-11-10_03-49-28,1699588168,1361.3930695056915,36534,c2bc4fd3277a,172.17.0.4,1361.3930695056915,1,128,3,175,2,2,1.1368668623596638e-05,2.2336744756258364e-06,14,"/home/darlinne.soto/ray_results/P10_convae_motionsense_p50/my_objective_function_222fb10b_619_batch_size=128,kernel=3,latent_dim=175,num_CL=2,num_HL=2,opt_lr=0.0000,opt_wd=0.0000,size_CL=14_2023-11-10_03-26-47"
619,0.7238095238095238,0.7071428571428571,0.0130844111086038,0.6955069540327256,0.0145577598137062,0.6955069540327256,0.0145577598137062,0.7238095238095238,0.0,0.7219153741515161,0.0,0.7219153741515161,0.0,0.6619047619047619,0.0,0.6041143246774823,0.0,0.6041143246774823,0.0,52731963,52731963,491.56276750564575,True,1,2b7b11e1,2023-11-10_03-36-00,1699587360,491.56276750564575,33571,c2bc4fd3277a,172.17.0.4,491.56276750564575,1,128,3,141,2,2,2.0336727315253373e-05,2.9645161811774935e-06,20,"/home/darlinne.soto/ray_results/P10_convae_motionsense_p50/my_objective_function_2b7b11e1_620_batch_size=128,kernel=3,latent_dim=141,num_CL=2,num_HL=2,opt_lr=0.0000,opt_wd=0.0000,size_CL=20_2023-11-10_03-27-48"
620,0.7357142857142858,0.6892857142857143,0.0063218657368341,0.6640513168450493,0.0075088278841392,0.6640513168450493,0.0075088278841392,0.7357142857142858,0.0,0.7275867061183231,0.0,0.727586706118323,0.0,0.6095238095238096,0.0,0.5451891308462967,0.0,0.5451891308462968,0.0,57952992,57952992,813.9878015518188,False,1,2753b290,2023-11-10_03-47-37,1699588057,813.9878015518188,36652,c2bc4fd3277a,172.17.0.4,813.9878015518188,1,128,3,135,2,2,1.0935108835955657e-05,9.949717890237279e-08,21,"/home/darlinne.soto/ray_results/P10_convae_motionsense_p50/my_objective_function_2753b290_621_batch_size=128,kernel=3,latent_dim=135,num_CL=2,num_HL=2,opt_lr=0.0000,opt_wd=0.0000,size_CL=21_2023-11-10_03-34-03"
621,0.6485714285714286,0.6485714285714286,0.0162951796497796,0.6301783491075897,0.0175989536761253,0.6301783491075897,0.0175989536761253,0.6476190476190476,0.0,0.6353364370455159,0.0,0.6353364370455159,0.0,0.6238095238095238,0.0,0.5842660896248811,0.0,0.584266089624881,0.0,43199863,43199863,71.92044019699097,True,1,d526ed33,2023-11-10_03-36-45,1699587405,71.92044019699097,21740,c2bc4fd3277a,172.17.0.4,71.92044019699097,1,128,3,163,2,2,1.2309220184262216e-05,6.560711092943508e-08,18,"/home/darlinne.soto/ray_results/P10_convae_motionsense_p50/my_objective_function_d526ed33_622_batch_size=128,kernel=3,latent_dim=163,num_CL=2,num_HL=2,opt_lr=0.0000,opt_wd=0.0000,size_CL=18_2023-11-10_03-35-33"
622,0.7333333333333333,0.7047619047619047,0.0141661664577557,0.6893960029649673,0.0139551570047569,0.6893960029649673,0.0139551570047569,0.7333333333333333,0.0,0.7308598869571382,0.0,0.7308598869571382,0.0,0.6857142857142857,0.0,0.6574914753820693,0.0,0.6574914753820692,0.0,75571922,75571922,627.0130589008331,False,1,9cf2347d,2023-11-10_03-46-14,1699587974,627.0130589008331,36774,c2bc4fd3277a,172.17.0.4,627.0130589008331,1,128,3,148,2,2,1.621198909543754e-05,3.340340248666344e-08,24,"/home/darlinne.soto/ray_results/P10_convae_motionsense_p50/my_objective_function_9cf2347d_623_batch_size=128,kernel=3,latent_dim=148,num_CL=2,num_HL=2,opt_lr=0.0000,opt_wd=0.0000,size_CL=24_2023-11-10_03-35-47"
623,0.7785714285714286,0.7014285714285714,0.0081926907305168,0.6796490245615396,0.0079671639103222,0.6796490245615396,0.0079671639103222,0.7785714285714286,0.0,0.7766295344711759,0.0,0.7766295344711759,0.0,0.6238095238095238,0.0,0.5635762237620081,0.0,0.5635762237620081,0.0,63539944,63539944,556.204984664917,False,1,a2fc8396,2023-11-10_03-45-17,1699587917,556.204984664917,33571,c2bc4fd3277a,172.17.0.4,556.204984664917,1,128,3,138,2,2,1.0871809172052727e-05,5.295479120329897e-07,22,"/home/darlinne.soto/ray_results/P10_convae_motionsense_p50/my_objective_function_a2fc8396_624_batch_size=128,kernel=3,latent_dim=138,num_CL=2,num_HL=2,opt_lr=0.0000,opt_wd=0.0000,size_CL=22_2023-11-10_03-36-00"
624,0.6976190476190476,0.6707142857142858,0.0136796023068792,0.6565062328973362,0.0151538647900887,0.6565062328973363,0.0151538647900888,0.6976190476190476,0.0,0.6867109184956445,0.0,0.6867109184956445,0.0,0.6095238095238096,0.0,0.5658975206810952,0.0,0.5658975206810952,0.0,69542303,69542303,56.116047382354736,True,1,52a2e4b0,2023-11-10_03-37-41,1699587461,56.116047382354736,21740,c2bc4fd3277a,172.17.0.4,56.116047382354736,1,128,3,150,2,2,1.3744348550746368e-05,4.620642189333676e-07,23,"/home/darlinne.soto/ray_results/P10_convae_motionsense_p50/my_objective_function_52a2e4b0_625_batch_size=128,kernel=3,latent_dim=150,num_CL=2,num_HL=2,opt_lr=0.0000,opt_wd=0.0000,size_CL=23_2023-11-10_03-36-45"
625,0.75,0.7054761904761905,0.0129559693908693,0.6855834228595425,0.0152259761645948,0.6855834228595425,0.0152259761645948,0.75,0.0,0.7477152590083044,0.0,0.7477152590083043,0.0,0.6214285714285714,0.0,0.5689887520645459,0.0,0.5689887520645459,0.0,42937363,42937363,821.8351340293884,False,1,cff604f0,2023-11-10_03-51-23,1699588283,821.8351340293884,21740,c2bc4fd3277a,172.17.0.4,821.8351340293884,1,128,3,143,2,2,1.0093152394741306e-05,2.985983527102031e-07,18,"/home/darlinne.soto/ray_results/P10_convae_motionsense_p50/my_objective_function_cff604f0_626_batch_size=128,kernel=3,latent_dim=143,num_CL=2,num_HL=2,opt_lr=0.0000,opt_wd=0.0000,size_CL=18_2023-11-10_03-37-42"
626,0.6928571428571428,0.6423809523809523,0.0084381167365092,0.6220525713055806,0.0085503295527746,0.6220525713055806,0.0085503295527746,0.6928571428571428,0.0,0.6904030763577184,0.0,0.6904030763577185,0.0,0.5785714285714286,0.0,0.5376511934900651,0.0,0.5376511934900651,0.0,58357157,58357157,57.07722806930542,True,1,70ebee83,2023-11-10_03-46-14,1699587974,57.07722806930542,33571,c2bc4fd3277a,172.17.0.4,57.07722806930542,1,128,3,162,2,2,1.2282026488714646e-05,2.6358420154885954e-07,21,"/home/darlinne.soto/ray_results/P10_convae_motionsense_p50/my_objective_function_70ebee83_627_batch_size=128,kernel=3,latent_dim=162,num_CL=2,num_HL=2,opt_lr=0.0000,opt_wd=0.0000,size_CL=21_2023-11-10_03-45-17"
627,0.7619047619047619,0.7257142857142858,0.0069660661134894,0.7062535779259189,0.008419824373821,0.7062535779259189,0.008419824373821,0.7619047619047619,0.0,0.7586853995776286,0.0,0.7586853995776285,0.0,0.6714285714285714,0.0,0.6098505935204975,0.0,0.6098505935204975,0.0,46867616,46867616,812.9535601139069,False,1,2c041624,2023-11-10_03-59-47,1699588787,812.9535601139069,33571,c2bc4fd3277a,172.17.0.4,812.9535601139069,1,128,3,157,4,2,1.0902317514600085e-05,2.6538990443643314e-08,19,"/home/darlinne.soto/ray_results/P10_convae_motionsense_p50/my_objective_function_2c041624_628_batch_size=128,kernel=3,latent_dim=157,num_CL=4,num_HL=2,opt_lr=0.0000,opt_wd=0.0000,size_CL=19_2023-11-10_03-46-14"
628,0.7857142857142857,0.7078571428571429,0.0069047619047619,0.6893423597431959,0.0085464367471581,0.6893423597431959,0.0085464367471581,0.7857142857142857,0.0,0.779541628802336,0.0,0.779541628802336,0.0,0.6428571428571429,0.0,0.5830765045500407,0.0,0.5830765045500407,0.0,34218331,34218331,601.6342167854309,False,1,7fb92609,2023-11-10_03-56-16,1699588576,601.6342167854309,36774,c2bc4fd3277a,172.17.0.4,601.6342167854309,1,128,3,153,2,2,1.4947185370560474e-05,3.394694165815882e-07,16,"/home/darlinne.soto/ray_results/P10_convae_motionsense_p50/my_objective_function_7fb92609_629_batch_size=128,kernel=3,latent_dim=153,num_CL=2,num_HL=2,opt_lr=0.0000,opt_wd=0.0000,size_CL=16_2023-11-10_03-46-15"
629,0.6571428571428571,0.625,0.0100593477020369,0.6073373203177227,0.0108685752240361,0.6073373203177227,0.0108685752240361,0.6571428571428571,0.0,0.64333103931074,0.0,0.64333103931074,0.0,0.6238095238095238,0.0,0.602639447769875,0.0,0.602639447769875,0.0,52579582,52579582,79.23321628570557,True,1,ba3a9d0d,2023-11-10_03-48-56,1699588136,79.23321628570557,36652,c2bc4fd3277a,172.17.0.4,79.23321628570557,1,128,3,130,2,2,1.3596364286170914e-05,8.058982102201426e-07,20,"/home/darlinne.soto/ray_results/P10_convae_motionsense_p50/my_objective_function_ba3a9d0d_630_batch_size=128,kernel=3,latent_dim=130,num_CL=2,num_HL=2,opt_lr=0.0000,opt_wd=0.0000,size_CL=20_2023-11-10_03-47-37"
630,0.650952380952381,0.650952380952381,0.0081926907305167,0.6457813874547688,0.0083255709542993,0.6457813874547688,0.0083255709542993,0.5928571428571429,0.0,0.5937589044460347,0.0,0.5937589044460349,0.0,0.5023809523809524,0.0,0.4522656706027229,0.0,0.4522656706027228,0.0,171292755,171292755,194.52861833572388,True,1,9f80d35a,2023-11-10_03-52-11,1699588331,194.52861833572388,36652,c2bc4fd3277a,172.17.0.4,194.52861833572388,1,128,3,146,2,4,1.7023443608134055e-05,7.206935485138655e-07,23,"/home/darlinne.soto/ray_results/P10_convae_motionsense_p50/my_objective_function_9f80d35a_631_batch_size=128,kernel=3,latent_dim=146,num_CL=2,num_HL=4,opt_lr=0.0000,opt_wd=0.0000,size_CL=23_2023-11-10_03-48-56"
631,0.6785714285714286,0.6411904761904761,0.0133863740922577,0.6173954116874459,0.014944640460093,0.6173954116874462,0.0149446404600931,0.6785714285714286,0.0,0.6554768079531758,0.0,0.6554768079531758,0.0,0.5238095238095238,0.0,0.434066611767179,0.0,0.434066611767179,0.0,58173965,58173965,605.8528122901917,True,1,262a6a6f,2023-11-10_03-59-34,1699588774,605.8528122901917,36534,c2bc4fd3277a,172.17.0.4,605.8528122901917,1,128,3,150,2,2,1.1470781046165166e-05,2.784577433759718e-08,21,"/home/darlinne.soto/ray_results/P10_convae_motionsense_p50/my_objective_function_262a6a6f_632_batch_size=128,kernel=3,latent_dim=150,num_CL=2,num_HL=2,opt_lr=0.0000,opt_wd=0.0000,size_CL=21_2023-11-10_03-49-28"
632,0.638095238095238,0.6173809523809524,0.0142876982749309,0.5959995088677708,0.0146613393521974,0.5959995088677708,0.0146613393521974,0.638095238095238,0.0,0.6348680819751885,0.0,0.6348680819751886,0.0,0.5595238095238095,0.0,0.5112040851246605,0.0,0.5112040851246605,0.0,43153868,43153868,53.915655851364136,True,1,6808e41d,2023-11-10_03-52-18,1699588338,53.915655851364136,21740,c2bc4fd3277a,172.17.0.4,53.915655851364136,1,128,3,160,2,2,1.8262726861343056e-05,6.513673270939378e-07,18,"/home/darlinne.soto/ray_results/P10_convae_motionsense_p50/my_objective_function_6808e41d_633_batch_size=128,kernel=3,latent_dim=160,num_CL=2,num_HL=2,opt_lr=0.0000,opt_wd=0.0000,size_CL=18_2023-11-10_03-51-24"
633,0.6785714285714286,0.6654761904761906,0.0133099284374987,0.6507654629435837,0.014698528005489,0.6507654629435837,0.014698528005489,0.6785714285714286,0.0,0.6752957395403109,0.0,0.6752957395403109,0.0,0.6023809523809524,0.0,0.5626252805009956,0.0,0.5626252805009957,0.0,47681363,47681363,75.57559704780579,True,1,18f223ad,2023-11-10_03-53-27,1699588407,75.57559704780579,36652,c2bc4fd3277a,172.17.0.4,75.57559704780579,1,128,3,140,2,2,0.00010212395059284338,2.5663080107640453e-09,19,"/home/darlinne.soto/ray_results/P10_convae_motionsense_p50/my_objective_function_18f223ad_634_batch_size=128,kernel=3,latent_dim=140,num_CL=2,num_HL=2,opt_lr=0.0001,opt_wd=0.0000,size_CL=19_2023-11-10_03-52-11"
