,score,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/down_HL,config/kernel_size,config/latent_dim,config/num_CL,config/num_HL,config/opt_lr,config/size_CL,config/size_HL,logdir
353,0.5678403755868544,288.31352829933167,False,1,5e2605bf,2023-09-18_04-15-29,1695010529,288.31352829933167,99442,84233402a856,172.17.0.2,288.31352829933167,1,6,5,39,3,2,0.0001847237577859878,14,109,"/home/darlinne.soto/ray_results/convtae_kuhar/my_objective_function_5e2605bf_354_down_HL=6,kernel_size=5,latent_dim=39,num_CL=3,num_HL=2,opt_lr=0.0002,size_CL=14,size_HL=109_2023-09-18_04-10-41"
354,-18.602337903622452,0.7330636978149414,True,1,9e1fb314,2023-09-18_04-12-47,1695010367,0.7330636978149414,120559,84233402a856,172.17.0.2,0.7330636978149414,1,4,4,140,5,4,0.00014999203093030391,18,91,"/home/darlinne.soto/ray_results/convtae_kuhar/my_objective_function_9e1fb314_355_down_HL=4,kernel_size=4,latent_dim=140,num_CL=5,num_HL=4,opt_lr=0.0001,size_CL=18,size_HL=91_2023-09-18_04-12-46"
355,0.5300469483568075,362.1591770648956,True,1,ec215f61,2023-09-18_04-18-50,1695010730,362.1591770648956,120559,84233402a856,172.17.0.2,362.1591770648956,1,2,5,224,4,2,0.0003407716221795166,8,67,"/home/darlinne.soto/ray_results/convtae_kuhar/my_objective_function_ec215f61_356_down_HL=2,kernel_size=5,latent_dim=224,num_CL=4,num_HL=2,opt_lr=0.0003,size_CL=8,size_HL=67_2023-09-18_04-12-47"
356,-15.793556561704628,0.8678665161132812,True,1,250befc2,2023-09-18_04-15-30,1695010530,0.8678665161132812,99442,84233402a856,172.17.0.2,0.8678665161132812,1,8,7,2,3,3,6.298222907863678e-05,7,86,"/home/darlinne.soto/ray_results/convtae_kuhar/my_objective_function_250befc2_357_down_HL=8,kernel_size=7,latent_dim=2,num_CL=3,num_HL=3,opt_lr=0.0001,size_CL=7,size_HL=86_2023-09-18_04-15-29"
357,-10.790175865853724,0.7817707061767578,True,1,5827cc0e,2023-09-18_04-15-31,1695010531,0.7817707061767578,99442,84233402a856,172.17.0.2,0.7817707061767578,1,9,4,215,5,5,8.542666686328849e-05,12,105,"/home/darlinne.soto/ray_results/convtae_kuhar/my_objective_function_5827cc0e_358_down_HL=9,kernel_size=4,latent_dim=215,num_CL=5,num_HL=5,opt_lr=0.0001,size_CL=12,size_HL=105_2023-09-18_04-15-30"
358,0.5617370892018779,304.42601346969604,True,1,36e20ed9,2023-09-18_04-20-36,1695010836,304.42601346969604,99442,84233402a856,172.17.0.2,304.42601346969604,1,10,6,117,4,2,0.00020283796317980545,17,59,"/home/darlinne.soto/ray_results/convtae_kuhar/my_objective_function_36e20ed9_359_down_HL=10,kernel_size=6,latent_dim=117,num_CL=4,num_HL=2,opt_lr=0.0002,size_CL=17,size_HL=59_2023-09-18_04-15-31"
359,0.5349765258215963,421.2761859893799,True,1,12561534,2023-09-18_04-22-35,1695010955,421.2761859893799,119295,84233402a856,172.17.0.2,421.2761859893799,1,5,8,279,6,2,0.00025249074807418004,9,93,"/home/darlinne.soto/ray_results/convtae_kuhar/my_objective_function_12561534_360_down_HL=5,kernel_size=8,latent_dim=279,num_CL=6,num_HL=2,opt_lr=0.0003,size_CL=9,size_HL=93_2023-09-18_04-15-34"
360,-12.331732624612448,0.701563835144043,True,1,a45483f3,2023-09-18_04-18-50,1695010730,0.701563835144043,120559,84233402a856,172.17.0.2,0.701563835144043,1,6,3,80,4,3,0.00013005016092684378,15,117,"/home/darlinne.soto/ray_results/convtae_kuhar/my_objective_function_a45483f3_361_down_HL=6,kernel_size=3,latent_dim=80,num_CL=4,num_HL=3,opt_lr=0.0001,size_CL=15,size_HL=117_2023-09-18_04-18-50"
361,-18.278543340920077,0.6976826190948486,True,1,d61b3004,2023-09-18_04-18-51,1695010731,0.6976826190948486,120559,84233402a856,172.17.0.2,0.6976826190948486,1,3,5,187,5,3,3.4661590450895234e-05,4,84,"/home/darlinne.soto/ray_results/convtae_kuhar/my_objective_function_d61b3004_362_down_HL=3,kernel_size=5,latent_dim=187,num_CL=5,num_HL=3,opt_lr=0.0000,size_CL=4,size_HL=84_2023-09-18_04-18-51"
362,-16.42791824559178,0.7107336521148682,True,1,b8a504b9,2023-09-18_04-18-52,1695010732,0.7107336521148682,120559,84233402a856,172.17.0.2,0.7107336521148682,1,7,4,153,3,6,0.00030271955267663077,13,101,"/home/darlinne.soto/ray_results/convtae_kuhar/my_objective_function_b8a504b9_363_down_HL=7,kernel_size=4,latent_dim=153,num_CL=3,num_HL=6,opt_lr=0.0003,size_CL=13,size_HL=101_2023-09-18_04-18-51"
