,score,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/down_HL,config/groups,config/kernel_size,config/latent_dim,config/num_CL,config/num_HL,config/opt_lr,config/size_CL,config/size_HL,logdir
11,-11.6718817793147,1.9342033863067627,False,1,d275afd2,2023-09-20_12-26-44,1695212804,1.9342033863067627,215831,84233402a856,172.17.0.2,1.9342033863067627,1,4,1,3,8,5,5,1.596381022080012e-05,14,28,"/home/darlinne.soto/ray_results/convtae_uci_percent25/my_objective_function_d275afd2_12_down_HL=4,groups=1,kernel_size=3,latent_dim=8,num_CL=5,num_HL=5,opt_lr=0.0000,size_CL=14,size_HL_2023-09-20_12-26-39"
12,-11.928831403718222,2.590644836425781,False,1,e3ef6468,2023-09-20_12-26-47,1695212807,2.590644836425781,215831,84233402a856,172.17.0.2,2.590644836425781,1,17,2,6,8,3,8,0.00012327302457377273,21,139,"/home/darlinne.soto/ray_results/convtae_uci_percent25/my_objective_function_e3ef6468_13_down_HL=17,groups=2,kernel_size=6,latent_dim=8,num_CL=3,num_HL=8,opt_lr=0.0001,size_CL=21,size_H_2023-09-20_12-26-42"
13,-18.9022599351427,2.744168519973755,True,1,abebc9db,2023-09-20_12-26-50,1695212810,2.744168519973755,215831,84233402a856,172.17.0.2,2.744168519973755,1,8,1,5,7,5,3,7.815975907504723e-05,15,81,"/home/darlinne.soto/ray_results/convtae_uci_percent25/my_objective_function_abebc9db_14_down_HL=8,groups=1,kernel_size=5,latent_dim=7,num_CL=5,num_HL=3,opt_lr=0.0001,size_CL=15,size_HL_2023-09-20_12-26-44"
14,-13.68672955446316,1.9350590705871584,True,1,23fb81fe,2023-09-20_12-26-52,1695212812,1.9350590705871584,215831,84233402a856,172.17.0.2,1.9350590705871584,1,7,2,5,8,2,2,2.1910740954178837e-05,7,73,"/home/darlinne.soto/ray_results/convtae_uci_percent25/my_objective_function_23fb81fe_15_down_HL=7,groups=2,kernel_size=5,latent_dim=8,num_CL=2,num_HL=2,opt_lr=0.0000,size_CL=7,size_HL=_2023-09-20_12-26-47"
15,-14.441947839275072,2.813380718231201,True,1,4c4cfe36,2023-09-20_12-26-55,1695212815,2.813380718231201,215831,84233402a856,172.17.0.2,2.813380718231201,1,11,2,4,12,5,4,0.00025225533186935145,2,79,"/home/darlinne.soto/ray_results/convtae_uci_percent25/my_objective_function_4c4cfe36_16_down_HL=11,groups=2,kernel_size=4,latent_dim=12,num_CL=5,num_HL=4,opt_lr=0.0003,size_CL=2,size_H_2023-09-20_12-26-50"
16,-12.248939552043442,2.498605728149414,False,1,b0e2024f,2023-09-20_12-26-57,1695212817,2.498605728149414,215831,84233402a856,172.17.0.2,2.498605728149414,1,2,1,6,6,6,7,6.0727081157897585e-05,23,28,"/home/darlinne.soto/ray_results/convtae_uci_percent25/my_objective_function_b0e2024f_17_down_HL=2,groups=1,kernel_size=6,latent_dim=6,num_CL=6,num_HL=7,opt_lr=0.0001,size_CL=23,size_HL_2023-09-20_12-26-52"
17,-19.88871665814313,2.157520294189453,True,1,4ece865c,2023-09-20_12-27-00,1695212820,2.157520294189453,215831,84233402a856,172.17.0.2,2.157520294189453,1,14,2,5,10,3,5,7.837650256177412e-05,16,88,"/home/darlinne.soto/ray_results/convtae_uci_percent25/my_objective_function_4ece865c_18_down_HL=14,groups=2,kernel_size=5,latent_dim=10,num_CL=3,num_HL=5,opt_lr=0.0001,size_CL=16,size__2023-09-20_12-26-55"
18,0.753235294117647,884.9210216999054,False,1,9d394dbf,2023-09-20_12-41-45,1695213705,884.9210216999054,215831,84233402a856,172.17.0.2,884.9210216999054,1,5,1,7,9,6,2,0.0006967850527407461,10,95,"/home/darlinne.soto/ray_results/convtae_uci_percent25/my_objective_function_9d394dbf_19_down_HL=5,groups=1,kernel_size=7,latent_dim=9,num_CL=6,num_HL=2,opt_lr=0.0007,size_CL=10,size_HL_2023-09-20_12-26-58"
19,-14.458768685354482,5.215734720230103,True,1,71401795,2023-09-20_12-27-54,1695212874,5.215734720230103,219953,84233402a856,172.17.0.2,5.215734720230103,1,16,1,7,8,6,4,0.00012039279047917456,18,138,"/home/darlinne.soto/ray_results/convtae_uci_percent25/my_objective_function_71401795_20_down_HL=16,groups=1,kernel_size=7,latent_dim=8,num_CL=6,num_HL=4,opt_lr=0.0001,size_CL=18,size_H_2023-09-20_12-27-00"
20,-11.73116219589697,2.6872363090515137,False,1,9adfc222,2023-09-20_12-27-57,1695212877,2.6872363090515137,219953,84233402a856,172.17.0.2,2.6872363090515137,1,1,1,2,10,7,4,0.00045471239364237187,11,62,"/home/darlinne.soto/ray_results/convtae_uci_percent25/my_objective_function_9adfc222_21_down_HL=1,groups=1,kernel_size=2,latent_dim=10,num_CL=7,num_HL=4,opt_lr=0.0005,size_CL=11,size_H_2023-09-20_12-27-49"
21,-16.957178096203734,2.513474702835083,True,1,cb2d59d4,2023-09-20_12-27-59,1695212879,2.513474702835083,219953,84233402a856,172.17.0.2,2.513474702835083,1,3,1,2,10,4,5,1.0551560315645559e-05,12,31,"/home/darlinne.soto/ray_results/convtae_uci_percent25/my_objective_function_cb2d59d4_22_down_HL=3,groups=1,kernel_size=2,latent_dim=10,num_CL=4,num_HL=5,opt_lr=0.0000,size_CL=12,size_H_2023-09-20_12-27-54"
22,0.6920588235294118,690.0808689594269,False,1,681fb302,2023-09-20_12-39-29,1695213569,690.0808689594269,219953,84233402a856,172.17.0.2,690.0808689594269,1,0,1,3,3,7,4,0.0005037044094203546,18,64,"/home/darlinne.soto/ray_results/convtae_uci_percent25/my_objective_function_681fb302_23_down_HL=0,groups=1,kernel_size=3,latent_dim=3,num_CL=7,num_HL=4,opt_lr=0.0005,size_CL=18,size_HL_2023-09-20_12-27-57"
23,-11.6734954196584,2.703669309616089,False,1,7627222f,2023-09-20_12-29-14,1695212954,2.703669309616089,220318,84233402a856,172.17.0.2,2.703669309616089,1,8,1,2,15,4,3,2.144848319188515e-05,3,105,"/home/darlinne.soto/ray_results/convtae_uci_percent25/my_objective_function_7627222f_24_down_HL=8,groups=1,kernel_size=2,latent_dim=15,num_CL=4,num_HL=3,opt_lr=0.0000,size_CL=3,size_HL_2023-09-20_12-27-59"
24,-17.206359723805967,1.615783452987671,True,1,ebe67126,2023-09-20_12-29-15,1695212955,1.615783452987671,220318,84233402a856,172.17.0.2,1.615783452987671,1,4,1,3,11,8,5,0.0009752698348875674,13,39,"/home/darlinne.soto/ray_results/convtae_uci_percent25/my_objective_function_ebe67126_25_down_HL=4,groups=1,kernel_size=3,latent_dim=11,num_CL=8,num_HL=5,opt_lr=0.0010,size_CL=13,size_H_2023-09-20_12-29-11"
