,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),num_params,num_trainable_params,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/batch_size,config/num_CL,config/size_CL,config/kernel,config/num_HL,config/m_lambda,config/latent_dim,config/opt_lr,config/opt_wd,logdir
0,0.6740476190476191,0.6740476190476191,0.013654715198990159,0.6734892335892967,0.015417795248235404,0.6734892335892967,0.015417795248235385,0.49523809523809526,0.0,0.48727833619341326,0.0,0.4872783361934132,0.0,0.5952380952380952,0.0,0.592421457086084,0.0,0.592421457086084,0.0,37640113,37640113,1698862499,False,1,ba9566ba,2023-11-01_18-14-59,172.76638793945312,172.76638793945312,26899,ff5996df3739,172.17.0.2,172.76638793945312,1,,64,2,17,3,2,2.591583795726029,82,0.00012142754397441582,5.367342444366852e-07,ba9566ba
1,0.6540476190476191,0.6540476190476191,0.01291213986948214,0.6451660607661214,0.012195221875157806,0.6451660607661214,0.01219522187515779,0.6523809523809524,0.0,0.6478750090096855,0.0,0.6478750090096855,0.0,0.5333333333333333,0.0,0.468222545465976,0.0,0.4682225454659761,0.0,80161835,80161835,1698862385,False,1,362a0f1f,2023-11-01_18-13-05,50.48084211349487,50.48084211349487,27004,ff5996df3739,172.17.0.2,50.48084211349487,1,,64,3,16,4,4,2.2286958981719844,75,8.331539132207352e-05,5.607101905264477e-06,362a0f1f
2,0.5928571428571427,0.5928571428571427,0.013964645998681115,0.5728861981363474,0.01565812770400311,0.5728861981363474,0.015658127704003134,0.4238095238095238,0.0,0.38834077329902406,0.0,0.3883407732990241,0.0,0.5476190476190477,0.0,0.4999809224542022,0.0,0.4999809224542022,0.0,2357543,2357543,1698862422,True,1,e5be79fb,2023-11-01_18-13-42,37.59759283065796,37.59759283065796,27004,ff5996df3739,172.17.0.2,37.59759283065796,1,,128,2,3,4,3,1.2822349394101924,124,1.7496188644919347e-05,2.424936118255083e-07,e5be79fb
3,0.6466666666666667,0.6466666666666667,0.012196427118919705,0.635158643243865,0.013093028209642336,0.635158643243865,0.013093028209642324,0.6,0.0,0.6063464799215823,0.0,0.6063464799215823,0.0,0.5476190476190477,0.0,0.4857116326339799,0.0,0.4857116326339799,0.0,83605604,83605604,1698862486,False,1,1eb5fbed,2023-11-01_18-14-46,57.9310245513916,57.9310245513916,27004,ff5996df3739,172.17.0.2,57.9310245513916,1,,128,3,26,4,2,2.378468061136235,16,0.0002581210026054746,5.908147653439557e-06,1eb5fbed
4,0.6038095238095238,0.6038095238095238,0.005947617141331817,0.6166621055736143,0.005554981649924536,0.6166621055736143,0.005554981649924504,0.5476190476190477,0.0,0.551010443488945,0.0,0.551010443488945,0.0,0.5119047619047619,0.0,0.509690138581315,0.0,0.5096901385813152,0.0,151090118,151090118,1698862593,True,1,57f112b5,2023-11-01_18-16-33,106.56173658370972,106.56173658370972,27004,ff5996df3739,172.17.0.2,106.56173658370972,1,,64,2,26,4,3,0.8506064330407761,20,0.0005518610146553909,8.719971929254456e-06,57f112b5
5,0.6685714285714287,0.6685714285714287,0.00933138949631688,0.6608068976590902,0.00970517659622357,0.66080689765909,0.009705176596223582,0.6333333333333333,0.0,0.6221877710963147,0.0,0.6221877710963146,0.0,0.5404761904761904,0.0,0.46427190899010995,0.0,0.46427190899011,0.0,46558675,46558675,1698862545,False,1,171fbf86,2023-11-01_18-15-45,45.89943313598633,45.89943313598633,26899,ff5996df3739,172.17.0.2,45.89943313598633,1,,64,3,12,4,4,0.9683047728916058,167,0.0008193442320988495,6.788874085306192e-06,171fbf86
6,0.4595238095238095,0.4428571428571429,0.008451542547285158,0.4552331923712276,0.008371642069917522,0.4552331923712276,0.008371642069917497,0.4595238095238095,0.0,0.46264855380826814,0.0,0.46264855380826814,0.0,0.45714285714285713,0.0,0.42864408500141876,0.0,0.4286440850014187,0.0,43709484,43709484,1698862613,True,1,cfe757b9,2023-11-01_18-16-53,68.17279243469238,68.17279243469238,26899,ff5996df3739,172.17.0.2,68.17279243469238,1,,64,3,14,3,3,2.2143017361549875,2,5.628411717365641e-05,1.6877650244100797e-06,cfe757b9
7,0.6680952380952382,0.6680952380952382,0.007911070345636277,0.6729029086234461,0.007825242232183288,0.6729029086234461,0.007825242232183281,0.6261904761904762,0.0,0.6332013151251231,0.0,0.633201315125123,0.0,0.4928571428571429,0.0,0.4428985447599237,0.0,0.4428985447599237,0.0,52727414,52727414,1698862629,False,1,5bbd7bfb,2023-11-01_18-17-09,36.319443225860596,36.319443225860596,27004,ff5996df3739,172.17.0.2,36.319443225860596,1,,128,3,15,2,3,1.174077103871983,130,0.0004435533569827865,5.040956081504837e-06,5bbd7bfb
8,0.6404761904761904,0.6361904761904761,0.0072060695002007435,0.6375287731381042,0.007760061507286881,0.6375287731381042,0.007760061507286872,0.6404761904761904,0.0,0.6414071002488675,0.0,0.6414071002488673,0.0,0.5166666666666667,0.0,0.4883973819188678,0.0,0.4883973819188678,0.0,162938766,162938766,1698862677,True,1,81c0034c,2023-11-01_18-17-57,64.08969259262085,64.08969259262085,26899,ff5996df3739,172.17.0.2,64.08969259262085,1,,64,4,23,4,4,2.269157918564331,113,3.58048161128331e-05,3.0355432861432e-06,81c0034c
9,0.6047619047619047,0.5916666666666666,0.012291342380133609,0.573735699680001,0.01268818883044549,0.5737356996800012,0.012688188830445484,0.6047619047619047,0.0,0.6055403896809594,0.0,0.6055403896809592,0.0,0.5023809523809524,0.0,0.4433832554864301,0.0,0.4433832554864301,0.0,3216998,3216998,1698862657,True,1,e57f85fa,2023-11-01_18-17-37,27.80527353286743,27.80527353286743,27004,ff5996df3739,172.17.0.2,27.80527353286743,1,,128,3,5,3,2,0.15700249564211932,23,1.0658839972917156e-05,9.151558796086456e-06,e57f85fa
