,score,num_params,num_trainable_params,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/batch_size,config/num_HL,config/down_HL,config/size_HL,config/latent_dim,config/opt_lr,config/opt_wd,logdir
20,-0.1,-1,-1,1697637706,False,1,61ce88c3,2023-10-18_14-01-46,1.371586799621582,1.371586799621582,12032,ff5996df3739,172.17.0.2,1.371586799621582,1,,32,3,12,24,13,6.681717518176248e-05,2.582037838388635e-07,61ce88c3
21,-0.1,-1,-1,1697637708,False,1,6326a5e7,2023-10-18_14-01-48,1.3912255764007568,1.3912255764007568,12032,ff5996df3739,172.17.0.2,1.3912255764007568,1,,64,6,11,193,167,3.069059401382861e-05,5.153374513949534e-06,6326a5e7
22,-0.1,-1,-1,1697637709,False,1,13363511,2023-10-18_14-01-49,1.3388392925262451,1.3388392925262451,12032,ff5996df3739,172.17.0.2,1.3388392925262451,1,,256,5,8,358,16,1.687050667339665e-05,6.4410871372640645e-06,13363511
23,-0.1,-1,-1,1697637719,False,1,95fe3a3b,2023-10-18_14-01-59,1.9032013416290283,1.9032013416290283,12646,ff5996df3739,172.17.0.2,1.9032013416290283,1,,64,6,19,162,170,2.9497461884829692e-05,4.77617335142466e-06,95fe3a3b
24,-0.1,-1,-1,1697637725,False,1,717e16e2,2023-10-18_14-02-05,1.3845891952514648,1.3845891952514648,12646,ff5996df3739,172.17.0.2,1.3845891952514648,1,,256,5,3,343,136,1.774311374077021e-05,6.606786789405639e-06,717e16e2
25,-0.1,-1,-1,1697637726,False,1,e49a570b,2023-10-18_14-02-06,1.408432960510254,1.408432960510254,12646,ff5996df3739,172.17.0.2,1.408432960510254,1,,128,7,8,359,358,1.128558023206659e-05,3.589598212342648e-06,e49a570b
26,-0.1,-1,-1,1697637728,False,1,21d5df75,2023-10-18_14-02-08,1.3600366115570068,1.3600366115570068,12646,ff5996df3739,172.17.0.2,1.3600366115570068,1,,64,6,19,137,176,2.777833111565779e-05,4.33959672035255e-06,21d5df75
27,-0.1,-1,-1,1697637729,False,1,7ad6acee,2023-10-18_14-02-09,1.5050346851348877,1.5050346851348877,12646,ff5996df3739,172.17.0.2,1.5050346851348877,1,,256,6,3,244,141,0.00014445211679425828,6.666560550584465e-06,7ad6acee
28,-0.1,-1,-1,1697637731,False,1,f1078b22,2023-10-18_14-02-11,1.5425448417663574,1.5425448417663574,12646,ff5996df3739,172.17.0.2,1.5425448417663574,1,,128,7,14,215,342,1.074032332682728e-05,3.3471191121848365e-06,f1078b22
29,-0.1,-1,-1,1697637732,False,1,881306f4,2023-10-18_14-02-12,1.454437494277954,1.454437494277954,12646,ff5996df3739,172.17.0.2,1.454437494277954,1,,64,8,19,126,241,0.0009269797126381439,5.648562925664056e-06,881306f4
30,-0.1,-1,-1,1697637734,False,1,8c329bc4,2023-10-18_14-02-14,1.442209005355835,1.442209005355835,12646,ff5996df3739,172.17.0.2,1.442209005355835,1,,128,6,2,239,109,0.0007370736428695985,2.931878359279663e-06,8c329bc4
31,-0.1,-1,-1,1697637737,False,1,edc16445,2023-10-18_14-02-17,1.4332664012908936,1.4332664012908936,12646,ff5996df3739,172.17.0.2,1.4332664012908936,1,,128,7,14,201,360,2.241891381282389e-05,3.46000849461039e-06,edc16445
32,-0.1,-1,-1,1697637739,False,1,12ab659a,2023-10-18_14-02-19,1.4668946266174316,1.4668946266174316,12646,ff5996df3739,172.17.0.2,1.4668946266174316,1,,64,8,18,61,244,0.0009980626822130218,5.213257894552786e-06,12ab659a
33,-0.1,-1,-1,1697637740,False,1,b7c5aac1,2023-10-18_14-02-20,1.3557252883911133,1.3557252883911133,12646,ff5996df3739,172.17.0.2,1.3557252883911133,1,,32,3,10,53,197,7.918801580678257e-05,9.924396072271169e-07,b7c5aac1
34,-0.1,-1,-1,1697637741,False,1,5422fc2a,2023-10-18_14-02-21,1.4632792472839355,1.4632792472839355,12646,ff5996df3739,172.17.0.2,1.4632792472839355,1,,128,5,12,398,278,3.6567656147915485e-05,2.2779874171275657e-06,5422fc2a
35,-0.1,-1,-1,1697637743,False,1,69174597,2023-10-18_14-02-23,1.584716796875,1.584716796875,12646,ff5996df3739,172.17.0.2,1.584716796875,1,,128,4,12,390,221,5.786367664626577e-05,3.904005067659934e-06,69174597
36,-0.1,-1,-1,1697637744,False,1,af462b6f,2023-10-18_14-02-24,1.3929617404937744,1.3929617404937744,12646,ff5996df3739,172.17.0.2,1.3929617404937744,1,,256,5,7,171,37,2.501205955602768e-05,2.813324948216583e-06,af462b6f
