,score,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/batch_size,config/num_HL,config/down_HL,config/size_HL,config/latent_dim,config/opt_lr,config/opt_wd,logdir
1311,0.5650234741784037,1697101967,True,1,5bb609c3,2023-10-12_09-12-47,2487.1609983444214,2487.1609983444214,5623,516b0028877c,172.17.0.2,2487.1609983444214,1,,256,2,9,254,41,5.2769125887708816e-05,7.93445500388617e-06,5bb609c3
1312,0.6206572769953052,1697101581,False,1,a384d955,2023-10-12_09-06-21,1955.8599648475647,1955.8599648475647,5549,516b0028877c,172.17.0.2,1955.8599648475647,1,,256,2,8,285,14,6.32952816013828e-05,7.6274552029158876e-06,a384d955
1313,0.4136150234741784,1697101720,True,1,859d3938,2023-10-12_09-08-40,1163.3367207050323,1163.3367207050323,6023,516b0028877c,172.17.0.2,1163.3367207050323,1,,256,2,9,256,2,5.657797645387439e-05,8.268644925831788e-06,859d3938
1314,0.5833333333333334,1697102903,False,1,e93df3e7,2023-10-12_09-28-23,2199.410051345825,2199.410051345825,5787,516b0028877c,172.17.0.2,2199.410051345825,1,,256,2,8,245,49,7.5329639993466e-05,8.453478105348655e-06,e93df3e7
1315,0.607981220657277,1697102227,False,1,a25cf90d,2023-10-12_09-17-07,1445.5829365253448,1445.5829365253448,5946,516b0028877c,172.17.0.2,1445.5829365253448,1,,256,2,10,269,25,6.910593304906269e-05,8.640087990591957e-06,a25cf90d
1316,0.5575117370892019,1697103944,True,1,7fbb1598,2023-10-12_09-45-44,2363.5586066246033,2363.5586066246033,5549,516b0028877c,172.17.0.2,2363.5586066246033,1,,256,2,9,263,56,8.271606173588062e-05,7.732955311192868e-06,7fbb1598
1317,0.6009389671361502,1697103632,False,1,a947acfa,2023-10-12_09-40-32,1911.2876784801483,1911.2876784801483,6023,516b0028877c,172.17.0.2,1911.2876784801483,1,,256,2,7,247,35,9.552729813235429e-05,8.421042369885203e-06,a947acfa
1318,0.5671361502347418,1697103730,True,1,7ea1012f,2023-10-12_09-42-10,1738.6694145202637,1738.6694145202637,5623,516b0028877c,172.17.0.2,1738.6694145202637,1,,256,2,8,240,70,4.9026167464140334e-05,7.443819509322575e-06,7ea1012f
1319,0.5964788732394367,1697104346,False,1,3c533dc9,2023-10-12_09-52-26,2119.0444819927216,2119.0444819927216,5946,516b0028877c,172.17.0.2,2119.0444819927216,1,,256,2,9,278,23,5.825664206457392e-05,8.056523949000962e-06,3c533dc9
1320,0.5917840375586854,1697105264,False,1,fd73cd30,2023-10-12_10-07-44,2360.425862789154,2360.425862789154,5787,516b0028877c,172.17.0.2,2360.425862789154,1,,256,2,10,251,44,6.589167460161865e-05,7.871342861908223e-06,fd73cd30
1321,0.5739436619718309,1697105908,False,1,949852a1,2023-10-12_10-18-28,2276.2326188087463,2276.2326188087463,6023,516b0028877c,172.17.0.2,2276.2326188087463,1,,256,2,7,291,57,7.5974417771499e-05,8.362373173362871e-06,949852a1
1322,0.606338028169014,1697105571,False,1,fb7db7d2,2023-10-12_10-12-51,1840.923012495041,1840.923012495041,5623,516b0028877c,172.17.0.2,1840.923012495041,1,,256,2,8,274,14,8.531616375089118e-05,7.549563990239212e-06,fb7db7d2
1323,0.4723004694835681,1697105571,True,1,74054920,2023-10-12_10-12-51,1624.1989121437073,1624.1989121437073,5549,516b0028877c,172.17.0.2,1624.1989121437073,1,,256,2,10,258,3,0.0001071362530202065,7.23951577849176e-06,74054920
1324,0.580281690140845,1697106423,False,1,9bd0560c,2023-10-12_10-27-03,2076.187867164612,2076.187867164612,5946,516b0028877c,172.17.0.2,2076.187867164612,1,,256,2,9,231,40,5.307024126159088e-05,7.418842457976526e-06,9bd0560c
1325,0.5795774647887324,1697106988,False,1,9a856371,2023-10-12_10-36-28,1724.1945893764496,1724.1945893764496,5787,516b0028877c,172.17.0.2,1724.1945893764496,1,,256,2,8,225,24,5.950754954424901e-05,7.782385701046847e-06,9a856371
1326,0.5769953051643192,1697107747,False,1,391d09cc,2023-10-12_10-49-07,2168.4645450115204,2168.4645450115204,5549,516b0028877c,172.17.0.2,2168.4645450115204,1,,256,2,7,263,69,7.121736347914874e-05,7.92194105053628e-06,391d09cc
1327,0.6291079812206573,1697107425,False,1,8f7559d4,2023-10-12_10-43-45,1846.2593030929565,1846.2593030929565,5623,516b0028877c,172.17.0.2,1846.2593030929565,1,,256,2,9,219,14,9.038315550539478e-05,8.724042153935236e-06,8f7559d4
1328,0.5892018779342723,1697108086,False,1,1767325b,2023-10-12_10-54-46,2177.537037372589,2177.537037372589,6023,516b0028877c,172.17.0.2,2177.537037372589,1,,256,2,8,285,59,4.713886721159246e-05,8.102059441059047e-06,1767325b
1329,0.4107981220657277,1697107398,True,1,e494af3c,2023-10-12_10-43-18,975.5784244537354,975.5784244537354,5946,516b0028877c,172.17.0.2,975.5784244537354,1,,256,2,7,240,2,6.220530789600809e-05,7.596724651466735e-06,e494af3c
1330,0.6194835680751172,1697108913,False,1,aa497635,2023-10-12_11-08-33,1923.9064254760742,1923.9064254760742,5787,516b0028877c,172.17.0.2,1923.9064254760742,1,,256,2,10,248,39,8.255397624152561e-05,7.1963475542439425e-06,aa497635
1331,0.5800469483568074,1697109306,False,1,8819b61b,2023-10-12_11-15-06,1907.6821625232697,1907.6821625232697,5946,516b0028877c,172.17.0.2,1907.6821625232697,1,,256,2,9,269,32,0.00010041761887220078,8.380392957783901e-06,8819b61b
1332,0.4507042253521127,1697108189,True,1,fd1833be,2023-10-12_10-56-29,763.5286002159119,763.5286002159119,5623,516b0028877c,172.17.0.2,763.5286002159119,1,,256,2,8,294,2,5.138712383981193e-05,7.702178558987124e-06,fd1833be
1333,0.5535211267605634,1697110295,True,1,45ab2c8a,2023-10-12_11-31-35,2547.3288099765778,2547.3288099765778,5549,516b0028877c,172.17.0.2,2547.3288099765778,1,,256,2,10,235,75,7.320341209717836e-05,8.118618874172308e-06,45ab2c8a
1334,0.5657276995305164,1697110901,True,1,3e5ad79a,2023-10-12_11-41-41,2814.9612288475037,2814.9612288475037,6023,516b0028877c,172.17.0.2,2814.9612288475037,1,,256,2,9,214,49,6.688197812806247e-05,7.3896724797211575e-06,3e5ad79a
1335,0.5539906103286385,1697109592,True,1,b992f13d,2023-10-12_11-19-52,1403.2435958385468,1403.2435958385468,5623,516b0028877c,172.17.0.2,1403.2435958385468,1,,256,2,8,257,16,0.00011579364468175604,8.004444049999992e-06,b992f13d
1336,0.5859154929577465,1697111219,False,1,02657992,2023-10-12_11-46-59,2306.3543014526367,2306.3543014526367,5787,516b0028877c,172.17.0.2,2306.3543014526367,1,,256,2,7,277,28,4.2630686176681274e-05,8.839845594426073e-06,02657992
1337,0.5633802816901408,1697111443,True,1,74ce142b,2023-10-12_11-50-43,2136.569088459015,2136.569088459015,5946,516b0028877c,172.17.0.2,2136.569088459015,1,,256,2,11,223,59,5.6279699891129726e-05,7.260433695753254e-06,74ce142b
1338,0.4309859154929578,1697110354,True,1,04a7e296,2023-10-12_11-32-34,761.2859272956848,761.2859272956848,5623,516b0028877c,172.17.0.2,761.2859272956848,1,,256,2,9,245,2,7.893697067674037e-05,8.642647622604535e-06,04a7e296
1339,0.5610328638497653,1697111925,True,1,7af4e196,2023-10-12_11-58-45,1630.6672019958496,1630.6672019958496,5549,516b0028877c,172.17.0.2,1630.6672019958496,1,,256,2,8,230,47,9.52506283441466e-05,7.11280199169169e-06,7af4e196
1340,0.5626760563380281,1697113010,True,1,c967ef2e,2023-10-12_12-16-50,2656.0041074752808,2656.0041074752808,5623,516b0028877c,172.17.0.2,2656.0041074752808,1,,256,2,7,250,88,4.581760308055286e-05,7.840490000776262e-06,c967ef2e
