,score,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/down_HL,config/latent_dim,config/num_HL,config/opt_lr,config/opt_wd,config/size_HL,logdir
0,-0.1,3.3106532096862797,False,1,fb7887ad,2023-10-17_02-23-19,1697509399,3.3106532096862797,97280,c8afe81c666d,172.17.0.3,3.3106532096862797,1,32,10,73,6,2.7179130065094083e-05,4.819198053950477e-06,275,"/home/darlinne.soto/ray_results/tae_motionsense_p50/my_objective_function_fb7887ad_1_batch_size=32,down_HL=10,latent_dim=73,num_HL=6,opt_lr=0.0000,opt_wd=0.0000,size_HL=275_2023-10-17_02-23-00"
1,0.588095238095238,1032.593486785889,False,1,ffa25e38,2023-10-17_02-40-32,1697510432,1032.593486785889,97280,c8afe81c666d,172.17.0.3,1032.593486785889,1,32,17,159,2,2.433168071687856e-05,5.07964933570359e-06,374,"/home/darlinne.soto/ray_results/tae_motionsense_p50/my_objective_function_ffa25e38_2_batch_size=32,down_HL=17,latent_dim=159,num_HL=2,opt_lr=0.0000,opt_wd=0.0000,size_HL=374_2023-10-17_02-23-16"
2,-0.1,2.962629556655884,False,1,ccae297f,2023-10-17_02-23-36,1697509416,2.962629556655884,101559,c8afe81c666d,172.17.0.3,2.962629556655884,1,128,13,113,8,0.00016798279413902042,3.93997259582242e-06,306,"/home/darlinne.soto/ray_results/tae_motionsense_p50/my_objective_function_ccae297f_3_batch_size=128,down_HL=13,latent_dim=113,num_HL=8,opt_lr=0.0002,opt_wd=0.0000,size_HL=306_2023-10-17_02-23-19"
3,-0.1,1.9008264541625977,False,1,fc682b20,2023-10-17_02-23-38,1697509418,1.9008264541625977,101559,c8afe81c666d,172.17.0.3,1.9008264541625977,1,256,5,45,7,1.4648732467374036e-05,4.735540454492843e-06,262,"/home/darlinne.soto/ray_results/tae_motionsense_p50/my_objective_function_fc682b20_4_batch_size=256,down_HL=5,latent_dim=45,num_HL=7,opt_lr=0.0000,opt_wd=0.0000,size_HL=262_2023-10-17_02-23-33"
4,-0.1,1.864734411239624,False,1,d6951b94,2023-10-17_02-23-40,1697509420,1.864734411239624,101559,c8afe81c666d,172.17.0.3,1.864734411239624,1,64,3,36,8,2.947975189201522e-05,3.7991121117943197e-06,151,"/home/darlinne.soto/ray_results/tae_motionsense_p50/my_objective_function_d6951b94_5_batch_size=64,down_HL=3,latent_dim=36,num_HL=8,opt_lr=0.0000,opt_wd=0.0000,size_HL=151_2023-10-17_02-23-37"
5,-0.1,2.0744776725769043,False,1,fdf509fe,2023-10-17_02-23-42,1697509422,2.0744776725769043,101559,c8afe81c666d,172.17.0.3,2.0744776725769043,1,64,11,147,6,0.000278277025341226,6.796933479651472e-06,208,"/home/darlinne.soto/ray_results/tae_motionsense_p50/my_objective_function_fdf509fe_6_batch_size=64,down_HL=11,latent_dim=147,num_HL=6,opt_lr=0.0003,opt_wd=0.0000,size_HL=208_2023-10-17_02-23-39"
6,-0.1,2.4543116092681885,False,1,963b7f3f,2023-10-17_02-23-45,1697509425,2.4543116092681885,101559,c8afe81c666d,172.17.0.3,2.4543116092681885,1,64,11,64,3,5.3068162029136426e-05,5.543761346787921e-06,265,"/home/darlinne.soto/ray_results/tae_motionsense_p50/my_objective_function_963b7f3f_7_batch_size=64,down_HL=11,latent_dim=64,num_HL=3,opt_lr=0.0001,opt_wd=0.0000,size_HL=265_2023-10-17_02-23-40"
7,-0.1,2.467315912246704,False,1,8e085ac9,2023-10-17_02-23-48,1697509428,2.467315912246704,101559,c8afe81c666d,172.17.0.3,2.467315912246704,1,64,2,171,6,2.846314488019197e-05,7.486847409418018e-06,97,"/home/darlinne.soto/ray_results/tae_motionsense_p50/my_objective_function_8e085ac9_8_batch_size=64,down_HL=2,latent_dim=171,num_HL=6,opt_lr=0.0000,opt_wd=0.0000,size_HL=97_2023-10-17_02-23-43"
8,-0.1,2.520025968551636,False,1,cb531ff7,2023-10-17_02-23-50,1697509430,2.520025968551636,101559,c8afe81c666d,172.17.0.3,2.520025968551636,1,64,8,71,5,0.00010184327478119048,9.872809275894002e-06,78,"/home/darlinne.soto/ray_results/tae_motionsense_p50/my_objective_function_cb531ff7_9_batch_size=64,down_HL=8,latent_dim=71,num_HL=5,opt_lr=0.0001,opt_wd=0.0000,size_HL=78_2023-10-17_02-23-45"
9,-0.1,2.4663705825805664,False,1,3b9e07f3,2023-10-17_02-23-53,1697509433,2.4663705825805664,101559,c8afe81c666d,172.17.0.3,2.4663705825805664,1,256,5,14,7,3.0000920166507447e-05,6.562045221970262e-06,254,"/home/darlinne.soto/ray_results/tae_motionsense_p50/my_objective_function_3b9e07f3_10_batch_size=256,down_HL=5,latent_dim=14,num_HL=7,opt_lr=0.0000,opt_wd=0.0000,size_HL=254_2023-10-17_02-23-48"
