,score,num_params,num_trainable_params,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/batch_size,config/num_HL,config/down_HL,config/size_HL,config/latent_dim,config/opt_lr,config/opt_wd,logdir
68,-0.1,-1,-1,1697546051,False,1,3b4020b7,2023-10-17_12-34-11,0.9822952747344971,0.9822952747344971,56338,1105bb7c0067,172.17.0.2,0.9822952747344971,1,,256,4,19,161,235,0.0009422438621335134,8.637387587965634e-06,3b4020b7
69,-0.1,-1,-1,1697546052,False,1,dca49ce1,2023-10-17_12-34-12,0.32926297187805176,0.32926297187805176,56338,1105bb7c0067,172.17.0.2,0.32926297187805176,1,,32,8,16,51,226,0.0004901275488366677,8.511339519699524e-06,dca49ce1
70,-0.1,-1,-1,1697546052,False,1,a3bf4bd4,2023-10-17_12-34-12,0.3522670269012451,0.3522670269012451,56338,1105bb7c0067,172.17.0.2,0.3522670269012451,1,,32,6,17,126,238,0.0007117267159717159,9.6162639127863e-06,a3bf4bd4
71,-0.1,-1,-1,1697546052,False,1,c762456c,2023-10-17_12-34-12,0.4442167282104492,0.4442167282104492,56338,1105bb7c0067,172.17.0.2,0.4442167282104492,1,,32,8,18,81,253,0.00028426196330224863,8.03115065757125e-06,c762456c
72,-0.1,-1,-1,1697546053,False,1,0cf5d413,2023-10-17_12-34-13,0.3968966007232666,0.3968966007232666,56338,1105bb7c0067,172.17.0.2,0.3968966007232666,1,,32,4,12,71,33,5.8283721631473873e-05,5.090475882736118e-06,0cf5d413
73,-0.1,-1,-1,1697546053,False,1,8cbf1af9,2023-10-17_12-34-13,0.40702366828918457,0.40702366828918457,56338,1105bb7c0067,172.17.0.2,0.40702366828918457,1,,256,5,13,317,129,1.9329489388676557e-05,7.4447258704087545e-06,8cbf1af9
74,-0.1,-1,-1,1697546054,False,1,be03c949,2023-10-17_12-34-14,0.3829991817474365,0.3829991817474365,56338,1105bb7c0067,172.17.0.2,0.3829991817474365,1,,256,6,10,340,142,1.2250671558796126e-05,6.606746316069628e-06,be03c949
75,-0.1,-1,-1,1697546054,False,1,3dae3b18,2023-10-17_12-34-14,0.4228546619415283,0.4228546619415283,56338,1105bb7c0067,172.17.0.2,0.4228546619415283,1,,256,5,13,278,60,3.73120422109003e-05,6.48084739426267e-06,3dae3b18
76,-0.1,-1,-1,1697546055,False,1,d5dc3237,2023-10-17_12-34-15,0.3810102939605713,0.3810102939605713,56338,1105bb7c0067,172.17.0.2,0.3810102939605713,1,,256,5,6,296,97,1.3958026044542883e-05,6.0429889681566446e-06,d5dc3237
77,-0.1,-1,-1,1697546055,False,1,34f642dc,2023-10-17_12-34-15,0.4582545757293701,0.4582545757293701,56338,1105bb7c0067,172.17.0.2,0.4582545757293701,1,,256,4,4,303,15,1.062746570514081e-05,5.571238203556185e-06,34f642dc
78,-0.1,-1,-1,1697546056,False,1,df23e5fd,2023-10-17_12-34-16,0.513965368270874,0.513965368270874,56338,1105bb7c0067,172.17.0.2,0.513965368270874,1,,256,4,9,185,48,6.370878366104167e-05,1.4404434738545625e-06,df23e5fd
79,-0.1,-1,-1,1697546057,False,1,c4f7fb6a,2023-10-17_12-34-17,0.36788034439086914,0.36788034439086914,56338,1105bb7c0067,172.17.0.2,0.36788034439086914,1,,256,3,8,227,53,4.937610644501521e-05,3.391165658521768e-06,c4f7fb6a
80,-0.1,-1,-1,1697546057,False,1,af6cc617,2023-10-17_12-34-17,0.37966299057006836,0.37966299057006836,56338,1105bb7c0067,172.17.0.2,0.37966299057006836,1,,64,7,18,34,199,0.00039508173539816406,2.718791435544341e-06,af6cc617
81,-0.1,-1,-1,1697546057,False,1,52d34534,2023-10-17_12-34-17,0.3683736324310303,0.3683736324310303,56338,1105bb7c0067,172.17.0.2,0.3683736324310303,1,,256,6,4,259,105,1.8928822387232592e-05,5.289547880759701e-06,52d34534
