,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),num_params,num_trainable_params,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/kernel,config/latent_dim,config/m_lambda,config/num_CL,config/num_HL,config/opt_lr,config/opt_wd,config/size_CL,logdir,error_type,error_message,error_traceback
287,0.6619047619047619,0.6588095238095238,0.0142876982749309,0.633033441361245,0.0161600427585261,0.6330334413612448,0.0161600427585261,0.6619047619047619,0.0,0.6415985071666973,0.0,0.6415985071666972,0.0,0.6,0.0,0.5509414703091627,0.0,0.5509414703091627,0.0,79508797,79508797,75.64039993286133,True,1,9116195b,2023-11-11_17-25-29,1699723529,75.64039993286133,79366,c2bc4fd3277a,172.17.0.4,75.64039993286133,1,128,2,347,1.5429942388125752,3,2,7.790591775025018e-05,4.960367314823436e-06,24,"/home/darlinne.soto/ray_results/P10_convtae_motionsense_p100/my_objective_function_9116195b_288_batch_size=128,kernel=2,latent_dim=347,m_lambda=1.5430,num_CL=3,num_HL=2,opt_lr=0.0001,opt_wd=0_2023-11-11_17-24-13",,,
288,0.6478571428571429,0.6478571428571429,0.0106718737290547,0.6494725339343809,0.0110701386929898,0.6494725339343811,0.0110701386929898,0.5857142857142857,0.0,0.5975779472380961,0.0,0.5975779472380961,0.0,0.5261904761904762,0.0,0.4729604126893376,0.0,0.4729604126893376,0.0,160574967,160574967,103.40053367614746,True,1,9fa545f9,2023-11-11_17-27-12,1699723632,103.40053367614746,79366,c2bc4fd3277a,172.17.0.4,103.40053367614746,1,64,2,317,1.6386961170650391,3,3,0.00010444310542423475,5.204451378683839e-06,26,"/home/darlinne.soto/ray_results/P10_convtae_motionsense_p100/my_objective_function_9fa545f9_289_batch_size=64,kernel=2,latent_dim=317,m_lambda=1.6387,num_CL=3,num_HL=3,opt_lr=0.0001,opt_wd=0._2023-11-11_17-25-29",,,
289,0.7071428571428572,0.6961904761904762,0.0091720763258372,0.6854770635536418,0.0115526426974953,0.6854770635536418,0.0115526426974952,0.7071428571428572,0.0,0.7004496499605061,0.0,0.700449649960506,0.0,0.6095238095238096,0.0,0.5592209672216875,0.0,0.5592209672216875,0.0,121337696,121337696,109.7467052936554,False,1,7d6f69bd,2023-11-11_17-27-51,1699723671,109.7467052936554,83887,c2bc4fd3277a,172.17.0.4,109.7467052936554,1,64,2,304,1.1663842453252047,3,2,9.369215578422812e-05,3.3106345989360147e-06,30,"/home/darlinne.soto/ray_results/P10_convtae_motionsense_p100/my_objective_function_7d6f69bd_290_batch_size=64,kernel=2,latent_dim=304,m_lambda=1.1664,num_CL=3,num_HL=2,opt_lr=0.0001,opt_wd=0._2023-11-11_17-26-01",,,
290,0.6952380952380952,0.6311904761904762,0.0116374756284285,0.6131586357545662,0.0132273861744788,0.6131586357545662,0.0132273861744788,0.6952380952380952,0.0,0.6904116968529453,0.0,0.6904116968529455,0.0,0.6333333333333333,0.0,0.5938889958279955,0.0,0.5938889958279956,0.0,98998626,98998626,71.37814974784851,True,1,3e96ebd5,2023-11-11_17-28-24,1699723704,71.37814974784851,79366,c2bc4fd3277a,172.17.0.4,71.37814974784851,1,128,2,310,1.2460111941387528,3,2,5.765501178084221e-05,4.583725458163894e-06,27,"/home/darlinne.soto/ray_results/P10_convtae_motionsense_p100/my_objective_function_3e96ebd5_291_batch_size=128,kernel=2,latent_dim=310,m_lambda=1.2460,num_CL=3,num_HL=2,opt_lr=0.0001,opt_wd=0_2023-11-11_17-27-13",,,
291,0.7095238095238094,0.7095238095238094,0.0103235635184184,0.7077600097955525,0.0102737782345763,0.7077600097955523,0.0102737782345763,0.5166666666666667,0.0,0.513150447383055,0.0,0.513150447383055,0.0,0.669047619047619,0.0,0.664815419648921,0.0,0.664815419648921,0.0,67121127,67121127,948.9563341140748,False,1,7b91bb83,2023-11-11_17-43-40,1699724620,948.9563341140748,83887,c2bc4fd3277a,172.17.0.4,948.9563341140748,1,64,2,337,1.5785643688937647,3,2,5.300672487963889e-05,6.893301151829806e-06,22,"/home/darlinne.soto/ray_results/P10_convtae_motionsense_p100/my_objective_function_7b91bb83_292_batch_size=64,kernel=2,latent_dim=337,m_lambda=1.5786,num_CL=3,num_HL=2,opt_lr=0.0001,opt_wd=0._2023-11-11_17-27-51",,,
292,0.5642857142857143,0.5642857142857143,0.005832118435198,0.5689779696381342,0.0058421525831345,0.5689779696381342,0.0058421525831345,0.5357142857142857,0.0,0.5432334265064561,0.0,0.5432334265064562,0.0,0.469047619047619,0.0,0.44364529534226,0.0,0.44364529534226,0.0,149608219,149608219,460.9550578594208,True,1,8b588e82,2023-11-11_17-36-05,1699724165,460.9550578594208,79366,c2bc4fd3277a,172.17.0.4,460.9550578594208,1,128,2,355,1.7377439745724423,3,3,8.296559037031965e-05,3.7581054791049945e-06,25,"/home/darlinne.soto/ray_results/P10_convtae_motionsense_p100/my_objective_function_8b588e82_293_batch_size=128,kernel=2,latent_dim=355,m_lambda=1.7377,num_CL=3,num_HL=3,opt_lr=0.0001,opt_wd=0_2023-11-11_17-28-24",,,
293,0.7478571428571429,0.7478571428571429,0.0146945467849614,0.7469804177633003,0.0151984574235883,0.7469804177633004,0.0151984574235883,0.5642857142857143,0.0,0.5637961939225562,0.0,0.5637961939225563,0.0,0.6642857142857143,0.0,0.6114581714474919,0.0,0.6114581714474919,0.0,70323212,70323212,1180.5654220581057,False,1,9e38ab70,2023-11-11_17-51-26,1699725086,1180.5654220581057,83643,c2bc4fd3277a,172.17.0.4,1180.5654220581057,1,64,3,243,1.1075128969904955,3,2,0.00011851963735223281,4.90579170040533e-06,23,"/home/darlinne.soto/ray_results/P10_convtae_motionsense_p100/my_objective_function_9e38ab70_294_batch_size=64,kernel=3,latent_dim=243,m_lambda=1.1075,num_CL=3,num_HL=2,opt_lr=0.0001,opt_wd=0._2023-11-11_17-31-45",,,
294,0.7676190476190475,0.7676190476190475,0.0116252910626035,0.7654989458581094,0.0118826161121346,0.7654989458581095,0.0118826161121345,0.5571428571428572,0.0,0.5584182130044543,0.0,0.5584182130044543,0.0,0.6452380952380953,0.0,0.6006144046765958,0.0,0.6006144046765957,0.0,70583403,70583403,1231.052094221115,False,1,a964407e,2023-11-11_17-56-37,1699725397,1231.052094221115,79366,c2bc4fd3277a,172.17.0.4,1231.052094221115,1,64,3,258,1.0258317219962234,3,2,0.00014445695366820463,5.728821852173541e-06,23,"/home/darlinne.soto/ray_results/P10_convtae_motionsense_p100/my_objective_function_a964407e_295_batch_size=64,kernel=3,latent_dim=258,m_lambda=1.0258,num_CL=3,num_HL=2,opt_lr=0.0001,opt_wd=0._2023-11-11_17-36-06",,,
295,0.7880952380952381,0.7747619047619047,0.0099999999999999,0.7744701034056357,0.0103644561157663,0.7744701034056357,0.0103644561157663,0.5261904761904762,0.0,0.5208937579933514,0.0,0.5208937579933514,0.0,0.7880952380952381,0.0,0.788945722706489,0.0,0.788945722706489,0.0,58627516,58627516,1099.173151254654,False,1,8219ed2f,2023-11-11_18-01-59,1699725719,1099.173151254654,83887,c2bc4fd3277a,172.17.0.4,1099.173151254654,1,64,3,221,1.069018272284042,3,2,0.00010815378153966315,4.363840485361478e-06,21,"/home/darlinne.soto/ray_results/P10_convtae_motionsense_p100/my_objective_function_8219ed2f_296_batch_size=64,kernel=3,latent_dim=221,m_lambda=1.0690,num_CL=3,num_HL=2,opt_lr=0.0001,opt_wd=0._2023-11-11_17-43-40",,,
296,0.7066666666666667,0.7066666666666667,0.0150885519216712,0.6984678364544951,0.0155809369452781,0.6984678364544951,0.0155809369452781,0.6595238095238095,0.0,0.659525688736179,0.0,0.6595256887361789,0.0,0.6023809523809524,0.0,0.5610377210428439,0.0,0.561037721042844,0.0,122249184,122249184,90.8094551563263,False,1,a422e57b,2023-11-11_17-49-21,1699724961,90.8094551563263,83765,c2bc4fd3277a,172.17.0.4,90.8094551563263,1,64,3,215,0.8889227985716356,3,3,9.514076259007502e-05,4.819755276824051e-06,23,"/home/darlinne.soto/ray_results/P10_convtae_motionsense_p100/my_objective_function_a422e57b_297_batch_size=64,kernel=3,latent_dim=215,m_lambda=0.8889,num_CL=3,num_HL=3,opt_lr=0.0001,opt_wd=0._2023-11-11_17-47-50",,,
