,score,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/down_HL,config/latent_dim,config/num_HL,config/opt_lr,config/opt_wd,config/size_HL,logdir
138,-10.23449859557021,3.77301836013794,True,1,1382f578,2023-09-20_22-44-11,1695249851,3.77301836013794,267758,84233402a856,172.17.0.2,3.77301836013794,1,32,9,102,3,0.0005393707280375137,6.032002151982333e-06,299,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_1382f578_139_batch_size=32,down_HL=9,latent_dim=102,num_HL=3,opt_lr=0.0005,opt_wd=0.0000,size_HL=299_2023-09-20_22-44-08"
139,-17.269484725462945,2.0245821475982666,True,1,6c9b6290,2023-09-20_22-44-14,1695249854,2.0245821475982666,267758,84233402a856,172.17.0.2,2.0245821475982666,1,256,15,193,4,0.0001447936326706314,8.834866459530488e-06,232,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_6c9b6290_140_batch_size=256,down_HL=15,latent_dim=193,num_HL=4,opt_lr=0.0001,opt_wd=0.0000,size_HL=232_2023-09-20_22-44-12"
140,-14.01714571221222,2.071429252624512,True,1,02e2b477,2023-09-20_22-44-16,1695249856,2.071429252624512,267758,84233402a856,172.17.0.2,2.071429252624512,1,32,19,167,5,0.0005935083429340097,7.876815118336838e-06,223,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_02e2b477_141_batch_size=32,down_HL=19,latent_dim=167,num_HL=5,opt_lr=0.0006,opt_wd=0.0000,size_HL=223_2023-09-20_22-44-14"
141,0.7008823529411765,281.4694848060608,False,1,e46024dc,2023-09-20_22-48-58,1695250138,281.4694848060608,267758,84233402a856,172.17.0.2,281.4694848060608,1,32,11,22,2,0.0003134981272666956,5.060839867233062e-06,281,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_e46024dc_142_batch_size=32,down_HL=11,latent_dim=22,num_HL=2,opt_lr=0.0003,opt_wd=0.0000,size_HL=281_2023-09-20_22-44-17"
142,-14.685395445051078,1.9697833061218264,True,1,13314aaa,2023-09-20_22-49-00,1695250140,1.9697833061218264,267758,84233402a856,172.17.0.2,1.9697833061218264,1,64,10,88,8,0.00036191629012751364,2.27592283457e-06,368,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_13314aaa_143_batch_size=64,down_HL=10,latent_dim=88,num_HL=8,opt_lr=0.0004,opt_wd=0.0000,size_HL=368_2023-09-20_22-48-58"
143,0.6794117647058824,790.6557652950287,True,1,26975556,2023-09-20_23-02-11,1695250931,790.6557652950287,267758,84233402a856,172.17.0.2,790.6557652950287,1,32,18,117,2,6.496623810326887e-05,1.1162217009025949e-07,291,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_26975556_144_batch_size=32,down_HL=18,latent_dim=117,num_HL=2,opt_lr=0.0001,opt_wd=0.0000,size_HL=291_2023-09-20_22-49-01"
144,-14.014075984059025,1.8553473949432373,True,1,573026fd,2023-09-20_23-02-14,1695250934,1.8553473949432373,267758,84233402a856,172.17.0.2,1.8553473949432373,1,128,8,32,4,0.00012199904352288074,1.878052929535208e-06,331,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_573026fd_145_batch_size=128,down_HL=8,latent_dim=32,num_HL=4,opt_lr=0.0001,opt_wd=0.0000,size_HL=331_2023-09-20_23-02-12"
145,0.7558823529411764,2511.412011384964,False,1,1fbfdaa9,2023-09-20_23-44-05,1695253445,2511.412011384964,267758,84233402a856,172.17.0.2,2511.412011384964,1,32,4,205,2,0.0008481418000791355,7.525292950138863e-06,249,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_1fbfdaa9_146_batch_size=32,down_HL=4,latent_dim=205,num_HL=2,opt_lr=0.0008,opt_wd=0.0000,size_HL=249_2023-09-20_23-02-14"
146,0.7529411764705882,935.4842357635498,False,1,b2b5d543,2023-09-20_23-17-52,1695251872,935.4842357635498,277270,84233402a856,172.17.0.2,935.4842357635498,1,32,9,240,2,0.0009740473195339805,6.284572811084523e-06,310,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_b2b5d543_147_batch_size=32,down_HL=9,latent_dim=240,num_HL=2,opt_lr=0.0010,opt_wd=0.0000,size_HL=310_2023-09-20_23-02-16"
147,0.7441176470588236,704.1657574176788,False,1,463c7553,2023-09-20_23-29-36,1695252576,704.1657574176788,277270,84233402a856,172.17.0.2,704.1657574176788,1,32,7,213,2,0.0007408143448326294,7.28950643584866e-06,167,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_463c7553_148_batch_size=32,down_HL=7,latent_dim=213,num_HL=2,opt_lr=0.0007,opt_wd=0.0000,size_HL=167_2023-09-20_23-17-52"
148,0.7558823529411764,4471.401742458344,False,1,3929e5b2,2023-09-21_00-39-19,1695256759,4471.401742458344,279765,84233402a856,172.17.0.2,4471.401742458344,1,128,13,83,2,0.0006701792764746482,4.421954916087805e-06,382,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_3929e5b2_149_batch_size=128,down_HL=13,latent_dim=83,num_HL=2,opt_lr=0.0007,opt_wd=0.0000,size_HL=382_2023-09-20_23-24-48"
149,-11.44140208088398,1.9643223285675049,True,1,3a8f085f,2023-09-20_23-29-39,1695252579,1.9643223285675049,277270,84233402a856,172.17.0.2,1.9643223285675049,1,32,5,182,3,0.00048299763438085306,6.954564231482621e-06,399,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_3a8f085f_150_batch_size=32,down_HL=5,latent_dim=182,num_HL=3,opt_lr=0.0005,opt_wd=0.0000,size_HL=399_2023-09-20_23-29-37"
150,0.7558823529411764,3995.4471187591553,False,1,9c45dc25,2023-09-21_00-36-14,1695256574,3995.4471187591553,277270,84233402a856,172.17.0.2,3995.4471187591553,1,32,3,247,2,0.0004171718338918591,6.573692401172357e-06,351,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_9c45dc25_151_batch_size=32,down_HL=3,latent_dim=247,num_HL=2,opt_lr=0.0004,opt_wd=0.0000,size_HL=351_2023-09-20_23-29-39"
151,-12.348374536420568,1.4722087383270264,True,1,50ac59f4,2023-09-20_23-44-07,1695253447,1.4722087383270264,267758,84233402a856,172.17.0.2,1.4722087383270264,1,32,12,271,3,0.0008912534626480853,8.213148023749095e-06,323,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_50ac59f4_152_batch_size=32,down_HL=12,latent_dim=271,num_HL=3,opt_lr=0.0009,opt_wd=0.0000,size_HL=323_2023-09-20_23-44-06"
152,0.7529411764705882,777.6025938987732,False,1,d9614c28,2023-09-20_23-57-05,1695254225,777.6025938987732,267758,84233402a856,172.17.0.2,777.6025938987732,1,128,14,61,2,0.0006279322478860394,3.252621179638326e-06,381,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_d9614c28_153_batch_size=128,down_HL=14,latent_dim=61,num_HL=2,opt_lr=0.0006,opt_wd=0.0000,size_HL=381_2023-09-20_23-44-07"
153,0.7235294117647059,1883.063081741333,False,1,895e3bbb,2023-09-21_00-28-29,1695256109,1883.063081741333,267758,84233402a856,172.17.0.2,1883.063081741333,1,32,6,148,2,0.0007659100739584835,5.641202665370395e-06,390,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_895e3bbb_154_batch_size=32,down_HL=6,latent_dim=148,num_HL=2,opt_lr=0.0008,opt_wd=0.0000,size_HL=390_2023-09-20_23-57-05"
154,0.75,6938.595642089844,False,1,be0f53f9,2023-09-21_02-11-39,1695262299,6938.595642089844,278315,84233402a856,172.17.0.2,6938.595642089844,1,64,16,287,2,0.000351737965976798,4.672396368835147e-06,362,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_be0f53f9_155_batch_size=64,down_HL=16,latent_dim=287,num_HL=2,opt_lr=0.0004,opt_wd=0.0000,size_HL=362_2023-09-21_00-16-00"
155,-13.48915461989667,3.0347108840942383,True,1,d43bb01c,2023-09-21_00-28-32,1695256112,3.0347108840942383,267758,84233402a856,172.17.0.2,3.0347108840942383,1,64,16,293,3,0.00027372840951479956,5.852478452154827e-06,340,"/home/darlinne.soto/ray_results/tae_uci_p100/my_objective_function_d43bb01c_156_batch_size=64,down_HL=16,latent_dim=293,num_HL=3,opt_lr=0.0003,opt_wd=0.0000,size_HL=340_2023-09-21_00-28-29"
