,score,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/umap_ncomp,config/umap_spread,config/umap_mdist,config/umap_neigh,config/umap_epochs,logdir
0,0.5161812297734628,1696255093,False,1,0f995218,2023-10-02_13-58-13,257.2323434352875,257.2323434352875,62900,a0a61d405dc2,172.17.0.2,257.2323434352875,1,,16,0.687836103958104,0.4299395715046541,115,476,0f995218
1,-0.1,1696254876,False,1,409cd2a6,2023-10-02_13-54-36,22.307353258132935,22.307353258132935,63094,a0a61d405dc2,172.17.0.2,22.307353258132935,1,,16,0.4651660019726891,0.5695008713786607,90,474,409cd2a6
2,-0.1,1696254876,False,1,a8308aec,2023-10-02_13-54-36,8.936340808868408,8.936340808868408,63146,a0a61d405dc2,172.17.0.2,8.936340808868408,1,,29,0.8666486670792355,1.921221638172691,178,445,a8308aec
3,0.5884573894282632,1696255116,False,1,0ac3a1cb,2023-10-02_13-58-36,239.75704860687256,239.75704860687256,63146,a0a61d405dc2,172.17.0.2,239.75704860687256,1,,78,0.8592169191038137,0.08315734082292714,14,314,0ac3a1cb
4,0.5302049622437972,1696255189,False,1,24ae5c43,2023-10-02_13-59-49,313.2659332752228,313.2659332752228,63094,a0a61d405dc2,172.17.0.2,313.2659332752228,1,,72,1.9436377690305766,0.792506416458757,91,391,24ae5c43
5,0.5329018338727076,1696255148,False,1,6ee1a2f7,2023-10-02_13-59-08,258.8891203403473,258.8891203403473,63304,a0a61d405dc2,172.17.0.2,258.8891203403473,1,,27,1.3049363192589256,0.31322283186834343,87,485,6ee1a2f7
6,0.5792880258899676,1696255239,False,1,07e55168,2023-10-02_14-00-39,145.7779839038849,145.7779839038849,62900,a0a61d405dc2,172.17.0.2,145.7779839038849,1,,23,0.8244490166998188,0.6389886573656149,60,365,07e55168
7,-0.1,1696255120,True,1,c51056fc,2023-10-02_13-58-40,4.23310923576355,4.23310923576355,63146,a0a61d405dc2,172.17.0.2,4.23310923576355,1,,22,1.0756727864778601,1.0942576601582046,11,248,c51056fc
8,-0.1,1696255127,True,1,91f79db3,2023-10-02_13-58-47,4.260180950164795,4.260180950164795,63146,a0a61d405dc2,172.17.0.2,4.260180950164795,1,,14,1.0393814734440192,1.7760833874647977,58,529,91f79db3
9,-0.1,1696255132,True,1,c6903a27,2023-10-02_13-58-52,4.170096158981323,4.170096158981323,63146,a0a61d405dc2,172.17.0.2,4.170096158981323,1,,76,1.5416093995446385,1.888610707678774,159,230,c6903a27
