,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),num_params,num_trainable_params,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/kernel,config/latent_dim,config/num_CL,config/num_HL,config/opt_lr,config/opt_wd,config/size_CL,logdir,error_type,error_message,error_traceback
290,0.6828638497652582,0.6828638497652582,0.0111816951772906,0.6843226295836775,0.0114061046038186,0.6843226295836775,0.0114061046038186,0.3708920187793427,0.0,0.3255230360299579,0.0,0.3255230360299579,0.0,0.596244131455399,0.0,0.5929710065510075,0.0,0.5929710065510074,0.0,37886491,37886491,269.93018913269043,False,1,53cb764b,2023-10-25_18-57-52,1698260272,269.93018913269043,325491,c8afe81c666d,172.17.0.3,269.93018913269043,1,64,2,85,3,2,4.9450689367023544e-05,9.989072213500215e-06,17,"/home/darlinne.soto/ray_results/P10_convae_kuhar_p25/my_objective_function_53cb764b_291_batch_size=64,kernel=2,latent_dim=85,num_CL=3,num_HL=2,opt_lr=0.0000,opt_wd=0.0000,size_CL=17_2023-10-25_18-53-22",,,
291,0.6793427230046949,0.6793427230046949,0.0134930590264788,0.6818193231127447,0.0134392474935824,0.6818193231127447,0.0134392474935825,0.3755868544600939,0.0,0.30696574562591,0.0,0.3069657456259101,0.0,0.5845070422535211,0.0,0.5803799946777871,0.0,0.5803799946777872,0.0,33283554,33283554,209.688059091568,False,1,ff9b91a0,2023-10-25_18-56-53,1698260213,209.688059091568,319620,c8afe81c666d,172.17.0.3,209.688059091568,1,64,2,56,3,2,5.864649322655059e-05,9.020504502106693e-06,16,"/home/darlinne.soto/ray_results/P10_convae_kuhar_p25/my_objective_function_ff9b91a0_292_batch_size=64,kernel=2,latent_dim=56,num_CL=3,num_HL=2,opt_lr=0.0001,opt_wd=0.0000,size_CL=16_2023-10-25_18-53-24",,,
292,0.680281690140845,0.680281690140845,0.005730777284382,0.679755425531111,0.0061460930087333,0.6797554255311109,0.0061460930087333,0.3896713615023474,0.0,0.3388235568206536,0.0,0.3388235568206535,0.0,0.5892018779342723,0.0,0.592416374706998,0.0,0.5924163747069979,0.0,15853410,15853410,229.49579572677607,False,1,c21d78a8,2023-10-25_18-57-14,1698260234,229.49579572677607,321525,c8afe81c666d,172.17.0.3,229.49579572677607,1,64,2,54,3,2,5.516139252768864e-05,8.168248501929275e-06,11,"/home/darlinne.soto/ray_results/P10_convae_kuhar_p25/my_objective_function_c21d78a8_293_batch_size=64,kernel=2,latent_dim=54,num_CL=3,num_HL=2,opt_lr=0.0001,opt_wd=0.0000,size_CL=11_2023-10-25_18-53-24",,,
293,0.6586854460093897,0.6586854460093897,0.011461554568764,0.6585614886258919,0.0115662508556766,0.6585614886258919,0.0115662508556766,0.3849765258215962,0.0,0.3171525748506458,0.0,0.3171525748506457,0.0,0.5657276995305164,0.0,0.5544944295595468,0.0,0.5544944295595468,0.0,25610355,25610355,253.69430303573608,False,1,c5665f0d,2023-10-25_18-57-59,1698260279,253.69430303573608,320241,c8afe81c666d,172.17.0.3,253.69430303573608,1,64,2,61,3,2,0.00010967429988184564,9.262643482720142e-06,14,"/home/darlinne.soto/ray_results/P10_convae_kuhar_p25/my_objective_function_c5665f0d_294_batch_size=64,kernel=2,latent_dim=61,num_CL=3,num_HL=2,opt_lr=0.0001,opt_wd=0.0000,size_CL=14_2023-10-25_18-53-45",,,
294,0.6218309859154929,0.6218309859154929,0.0115692220942268,0.6263111295489373,0.0113010806981081,0.6263111295489373,0.0113010806981081,0.4929577464788732,0.0,0.4421906366858939,0.0,0.4421906366858938,0.0,0.5727699530516432,0.0,0.5494496621908174,0.0,0.5494496621908175,0.0,22143200,22143200,21.09727668762207,True,1,738db2cd,2023-10-25_18-54-30,1698260070,21.09727668762207,323004,c8afe81c666d,172.17.0.3,21.09727668762207,1,64,2,64,3,2,9.011246203914926e-05,9.789151469118661e-06,13,"/home/darlinne.soto/ray_results/P10_convae_kuhar_p25/my_objective_function_738db2cd_295_batch_size=64,kernel=2,latent_dim=64,num_CL=3,num_HL=2,opt_lr=0.0001,opt_wd=0.0000,size_CL=13_2023-10-25_18-54-09",,,
295,0.6774647887323942,0.6774647887323942,0.012206572769953,0.6792177899972442,0.0121135904144941,0.6792177899972442,0.0121135904144941,0.3755868544600939,0.0,0.3190023270797353,0.0,0.3190023270797353,0.0,0.568075117370892,0.0,0.5525816378026415,0.0,0.5525816378026415,0.0,29297092,29297092,191.7398474216461,False,1,233b6b1a,2023-10-25_18-57-26,1698260246,191.7398474216461,321802,c8afe81c666d,172.17.0.3,191.7398474216461,1,64,2,56,3,2,6.528677326314203e-05,8.389896881176906e-06,15,"/home/darlinne.soto/ray_results/P10_convae_kuhar_p25/my_objective_function_233b6b1a_296_batch_size=64,kernel=2,latent_dim=56,num_CL=3,num_HL=2,opt_lr=0.0001,opt_wd=0.0000,size_CL=15_2023-10-25_18-54-14",,,
296,0.7115023474178404,0.7115023474178404,0.0115692220942268,0.7109098963547997,0.0115279248409339,0.7109098963547998,0.0115279248409339,0.4272300469483568,0.0,0.3862660364601845,0.0,0.3862660364601844,0.0,0.6150234741784038,0.0,0.5959913928474483,0.0,0.5959913928474482,0.0,18325141,18325141,170.749897480011,False,1,552c3a53,2023-10-25_18-57-08,1698260228,170.749897480011,319985,c8afe81c666d,172.17.0.3,170.749897480011,1,64,4,67,3,2,7.353918300536492e-05,9.355170569361762e-06,12,"/home/darlinne.soto/ray_results/P10_convae_kuhar_p25/my_objective_function_552c3a53_297_batch_size=64,kernel=4,latent_dim=67,num_CL=3,num_HL=2,opt_lr=0.0001,opt_wd=0.0000,size_CL=12_2023-10-25_18-54-17",,,
297,0.5910798122065727,0.5910798122065727,0.0125449663998942,0.5934563598088506,0.0122356429578112,0.5934563598088507,0.0122356429578113,0.5140845070422535,0.0,0.5199585515593711,0.0,0.5199585515593711,0.0,0.5704225352112676,0.0,0.535973309167605,0.0,0.5359733091676049,0.0,13127020,13127020,115.6310408115387,True,1,64e3fffa,2023-10-25_18-56-26,1698260186,115.6310408115387,323004,c8afe81c666d,172.17.0.3,115.6310408115387,1,64,2,52,3,2,5.176590477816951e-05,8.793833352748293e-06,10,"/home/darlinne.soto/ray_results/P10_convae_kuhar_p25/my_objective_function_64e3fffa_298_batch_size=64,kernel=2,latent_dim=52,num_CL=3,num_HL=2,opt_lr=0.0001,opt_wd=0.0000,size_CL=10_2023-10-25_18-54-30",,,
298,0.6288732394366197,0.6288732394366197,0.0104162947100158,0.6297757491147199,0.0096856276128824,0.6297757491147198,0.0096856276128824,0.4178403755868544,0.0,0.3859013535404286,0.0,0.3859013535404286,0.0,0.5446009389671361,0.0,0.497678165332083,0.0,0.497678165332083,0.0,15981074,15981074,24.4065101146698,True,1,9b5c9480,2023-10-25_18-55-03,1698260103,24.4065101146698,319255,c8afe81c666d,172.17.0.3,24.4065101146698,1,64,2,70,3,2,4.30359134974364e-05,9.087780494510703e-06,11,"/home/darlinne.soto/ray_results/P10_convae_kuhar_p25/my_objective_function_9b5c9480_299_batch_size=64,kernel=2,latent_dim=70,num_CL=3,num_HL=2,opt_lr=0.0000,opt_wd=0.0000,size_CL=11_2023-10-25_18-54-39",,,
299,0.6237089201877934,0.6237089201877934,0.0142420763494061,0.6208805033054765,0.015079410536724,0.6208805033054765,0.015079410536724,0.3779342723004695,0.0,0.3008190502308149,0.0,0.3008190502308149,0.0,0.5586854460093896,0.0,0.5337194864849382,0.0,0.533719486484938,0.0,33508925,33508925,87.88667345046997,True,1,bf92cbfd,2023-10-25_18-56-24,1698260184,87.88667345046997,319133,c8afe81c666d,172.17.0.3,87.88667345046997,1,64,2,75,3,2,0.0001818074341860655,9.793740672443716e-06,16,"/home/darlinne.soto/ray_results/P10_convae_kuhar_p25/my_objective_function_bf92cbfd_300_batch_size=64,kernel=2,latent_dim=75,num_CL=3,num_HL=2,opt_lr=0.0002,opt_wd=0.0000,size_CL=16_2023-10-25_18-54-56",,,
