,score,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/batch_size,config/num_HL,config/down_HL,config/size_HL,config/latent_dim,config/opt_lr,config/opt_wd,logdir,num_params,num_trainable_params
1312,0.578169014084507,1697561433,True,1,1674246e,2023-10-17_16-50-33,2686.945719242096,2686.945719242096,5768,ff5996df3739,172.17.0.2,2686.945719242096,1,,256,2,10,250,32,1.0008232404388458e-05,3.502289973781529e-06,1674246e,,
1313,0.5460093896713615,1697560199,True,1,d44bac01,2023-10-17_16-29-59,1206.521238565445,1206.521238565445,5406,ff5996df3739,172.17.0.2,1206.521238565445,1,,256,2,11,270,26,1.109327219968523e-05,3.839556712612449e-06,d44bac01,,
1314,0.607981220657277,1697562045,False,1,815268aa,2023-10-17_17-00-45,2854.663649559021,2854.663649559021,5614,ff5996df3739,172.17.0.2,2854.663649559021,1,,256,2,11,239,18,1.0383770392610096e-05,3.2388090718647188e-06,815268aa,,
1315,0.6197183098591549,1697561075,False,1,75d70563,2023-10-17_16-44-35,1832.623773574829,1832.623773574829,5364,ff5996df3739,172.17.0.2,1832.623773574829,1,,256,2,8,296,13,1.2394261519804488e-05,4.5434705031652985e-06,75d70563,,
1316,0.5849765258215964,1697561493,True,1,205083a5,2023-10-17_16-51-33,2129.2908906936646,2129.2908906936646,5074,ff5996df3739,172.17.0.2,2129.2908906936646,1,,256,2,9,227,7,1.706824150878059e-05,5.0980250757501855e-06,205083a5,,
1317,0.57981220657277,1697563221,True,1,db176668,2023-10-17_17-20-21,3758.157196521759,3758.157196521759,3666,ff5996df3739,172.17.0.2,3758.157196521759,1,,256,2,10,260,28,1.3569911651812609e-05,3.399179198860919e-06,db176668,,
1318,-0.1,1697562107,True,1,4160f8f5,2023-10-17_17-01-47,2367.3348517417908,2367.3348517417908,7136,ff5996df3739,172.17.0.2,2367.3348517417908,1,,256,2,12,285,35,1.099224698348806e-05,3.653191953614336e-06,4160f8f5,-1.0,
1319,0.6065727699530516,1697562157,False,1,21ddcf93,2023-10-17_17-02-37,2233.4296283721924,2233.4296283721924,4734,ff5996df3739,172.17.0.2,2233.4296283721924,1,,256,2,9,304,11,1.3940318361844157e-05,4.8349410580670475e-06,21ddcf93,,
1320,0.596244131455399,1697562279,False,1,2b52e2a3,2023-10-17_17-04-39,2079.484931945801,2079.484931945801,5406,ff5996df3739,172.17.0.2,2079.484931945801,1,,256,2,10,289,24,1.5680157878936286e-05,2.881886391906001e-06,2b52e2a3,,
1321,0.5582159624413146,1697562389,True,1,724375b5,2023-10-17_17-06-29,1828.398954629898,1828.398954629898,4067,ff5996df3739,172.17.0.2,1828.398954629898,1,,256,2,8,307,16,1.1643242008006972e-05,4.327437388132546e-06,724375b5,,
1322,0.5685446009389671,1697562750,True,1,3f750267,2023-10-17_17-12-30,1674.898698091507,1674.898698091507,5364,ff5996df3739,172.17.0.2,1674.898698091507,1,,256,2,9,280,21,1.8902790166447182e-05,2.177471723674926e-06,3f750267,,
1323,0.5727699530516432,1697563066,True,1,f8e29d48,2023-10-17_17-17-46,1890.5473372936249,1890.5473372936249,8312,ff5996df3739,172.17.0.2,1890.5473372936249,1,,256,2,8,300,10,1.3623482532137333e-05,3.948089479415202e-06,f8e29d48,-1.0,-1.0
1324,0.5410798122065728,1697562800,True,1,4a4d36d9,2023-10-17_17-13-20,1342.063681602478,1342.063681602478,5768,ff5996df3739,172.17.0.2,1342.063681602478,1,,256,2,11,262,34,1.1544438055615084e-05,4.1225678663248255e-06,4a4d36d9,,
1325,0.5751173708920188,1697563194,True,1,81fc4373,2023-10-17_17-19-54,1700.7497415542603,1700.7497415542603,5074,ff5996df3739,172.17.0.2,1700.7497415542603,1,,256,2,8,270,16,1.7127272622248937e-05,4.6437245761267495e-06,81fc4373,,
1326,0.45539906103286387,1697563773,True,1,0ef6476f,2023-10-17_17-29-33,1728.1696548461914,1728.1696548461914,5614,ff5996df3739,172.17.0.2,1728.1696548461914,1,,256,2,9,295,2,1.564265588991298e-05,5.232810262569594e-06,0ef6476f,,
1327,-0.1,1697565470,True,1,05fe002c,2023-10-17_17-57-50,3362.857398033142,3362.857398033142,7136,ff5996df3739,172.17.0.2,3362.857398033142,1,,256,2,7,315,20,1.0803472227101748e-05,4.943954788460467e-06,05fe002c,-1.0,
