,score,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/umap_ncomp,config/umap_spread,config/umap_mdist,config/umap_neigh,config/umap_epochs,logdir
0,0.47303128371089537,1696017111,False,1,9020d277,2023-09-29_19-51-51,593.481734752655,593.481734752655,1684,a0a61d405dc2,172.17.0.2,593.481734752655,1,,182,1.4019495174071315,0.9123824364660642,183,358,9020d277
1,-0.1,1696016568,False,1,3b893a1a,2023-09-29_19-42-48,28.931278467178345,28.931278467178345,1738,a0a61d405dc2,172.17.0.2,28.931278467178345,1,,204,0.0359439525383769,0.6241017428785667,128,240,3b893a1a
2,-0.1,1696016569,False,1,0102d6d4,2023-09-29_19-42-49,5.3993542194366455,5.3993542194366455,1790,a0a61d405dc2,172.17.0.2,5.3993542194366455,1,,140,0.5867985805701839,0.713768997008239,187,317,0102d6d4
3,0.40183387270765913,1696016910,False,1,bbaf867f,2023-09-29_19-48-30,335.78728437423706,335.78728437423706,1738,a0a61d405dc2,172.17.0.2,335.78728437423706,1,,77,0.9115865202326621,0.3216615359004149,119,206,bbaf867f
4,-0.1,1696016579,False,1,bcda9b33,2023-09-29_19-42-59,5.072665214538574,5.072665214538574,1790,a0a61d405dc2,172.17.0.2,5.072665214538574,1,,243,0.6705252543677578,1.3975070148438962,90,500,bcda9b33
5,0.5312837108953614,1696016882,False,1,fdb5d167,2023-09-29_19-48-02,303.42812156677246,303.42812156677246,1790,a0a61d405dc2,172.17.0.2,303.42812156677246,1,,48,1.5390670428803253,1.1498671298826737,110,373,fdb5d167
6,0.4325782092772384,1696016933,False,1,3c625393,2023-09-29_19-48-53,312.1019113063812,312.1019113063812,2027,a0a61d405dc2,172.17.0.2,312.1019113063812,1,,95,1.962696724147435,0.33766833891577264,48,330,3c625393
7,0.4753505933117584,1696016991,False,1,08e19826,2023-09-29_19-49-51,352.3795244693756,352.3795244693756,2225,a0a61d405dc2,172.17.0.2,352.3795244693756,1,,187,1.3792830272245957,1.2984568886638512,13,186,08e19826
8,-0.1,1696016887,True,1,9d521b81,2023-09-29_19-48-07,4.4468512535095215,4.4468512535095215,1790,a0a61d405dc2,172.17.0.2,4.4468512535095215,1,,57,1.0459358423040062,1.48753820040942,135,213,9d521b81
9,-0.1,1696016893,False,1,4b0eeb00,2023-09-29_19-48-13,4.432717561721802,4.432717561721802,1790,a0a61d405dc2,172.17.0.2,4.432717561721802,1,,130,0.10896713710055206,1.9595590464488126,8,349,4b0eeb00
